,to,from,source
0,"Глава I Несколько лет тому назад в одном из своих поместий жил старинный русский барин, Кирила Петрович Троекуров.","Глава I Бут бэрша одолэскэ палэ дрэ екх пэскирэ филатинэндыр джиндя пхурано русско рай, Кирило Петровичё Троекурово.",dubrovsky
1,"Его богатство, знатный род и связи давали ему большой вес в губерниях, где находилось его имение.","Лэскиро барвалыпэ, славутно родо и спхандыпэна дэнас лэскэ баро тырдыпэ дрэ губерния, кай сыс лэскири филатин. Збалындло сарэса, со только сыс пашыл лэстэ, ёв присыклыя тэ дэл пхэрды воля сарэскэ, со лэскэ закамэлпэ и сарэ затеенгэ ваш лэскирэ дрэван набарэ годякэ.",dubrovsky
2,Соседи рады были угождать малейшим его прихотям; губернские чиновники трепетали при его имени;,"Пашылатунэ рая радымаса могискирдэ тэ кэрэн со наяви ваш лэскири угода; форитка чиновникэ трэнскирнаспэ дарипнастыр, коли кон рипирлас лэскиро лав;",dubrovsky
3,"Кирила Петрович принимал знаки подобострастия как надлежащую дань; дом его всегда был полон гостями, готовыми тешить его барскую праздность, разделяя шумные, а иногда и буйные его увеселения.","Кирило Петровичё прилэлас подобострастиёскирэ знакэ, сыр трэбимо дань; лэскиро кхэр кажно дывэс сыс пхэрдо манушэнца, савэ могискирдэ тэ тешынэн лэскири раскири праздность.",dubrovsky
4,Никто не дерзал отказываться от его приглашения или в известные дни не являться с должным почтением в село Покровское.,"Никон на могискирдя тэ отпхэнэлпэ, коли Кирило Петровичё покхарлас кэ пэ, или дро трэбима дывэса тэ на явэн э трэбимэ почтениёса дрэ филатин Покровско.",dubrovsky
5,В домашнем быту Кирила Петрович выказывал все пороки человека необразованного.,Дрэ пэскиро джиибэ кхэрэ Кирилло Петровичё сыкавэлас сарэ накультурна манушэскирэ пороки.,dubrovsky
6,"Избалованный всем, что только окружало его, он привык давать полную волю всем порывам пылкого своего нрава и всем затеям довольно ограниченного ума.","Надыкхи прэ дрэван бари зор, ёв молы дуй дро курко сыс насвало одолэстыр, со обхаласпэ и кажно бельвель сыс выпии.",dubrovsky
7,"Несмотря на необыкновенную силу физических способностей, он раза два в неделю страдал от обжорства и каждый вечер бывал навеселе.",Гадженца и кхэритконэнца ёв обджяласпэ дрэван холямэс.,dubrovsky
9,"Всегдашние занятия Троекурова состояли в разъездах около пространных его владений, в продолжительных пирах и в проказах, ежедневно притом изобретаемых и жертвою коих бывал обыкновенно какой-нибудь новый знакомец; хотя и старинные приятели не всегда их избегали за исключением одного Андрея Гавриловича Дубровского.","Кажнонэ Троекуровонэскирэ залыибнаса сыс обгыибэ прэ грэстэ пэскирэ барэ филатина, длуга пиры и проказэ, савэ ёв кажно дывэс кэрлас и жэртваса савэнгирэнца сыс саво наяви нэво мануш, нэ и пхуранэ приятелёскэ налокхо сыс тэ вырисёл адалэ проказэндыр на гины екхэ Андреёс Гавриловичёс Дубровсконэс.",dubrovsky
10,"Сей Дубровский, отставной поручик гвардии, был ему ближайшим соседом и владел семидесятью душами.","Адава Дубровско, отставно гвардиякиро поручико, сыс лэскэ надуратунэ соседоса. Дубровсконэстэ сы эфтадэша крепостна мануша.",dubrovsky
11,"Троекуров, надменный в сношениях с людьми самого высшего звания, уважал Дубровского, несмотря на его смиренное состояние.","Троекурово, пхуткирдо э манушэнца уче званиёса, дрэван шукар отлыджияпэ ко Дубровско, надыкхи прэ лэскиро смиренныпэ.",dubrovsky
12,"Некогда были они товарищами по службе, и Троекуров знал по опыту нетерпеливость и решительность его характера.","Бут бэрша одолэскэ палэ ёнэ сыс товаришшенца пирэ служба, и Троекурово джиндя, со Дубровско хачкирдо и решительно.",dubrovsky
13,Обстоятельства разлучили их надолго.,"Джиибэ стходяпэ адякэ, со ёнэ бут бэрша на дыкхнэпэ.",dubrovsky
14,Дубровский с расстроенным состоянием принужден был выйти в отставку и поселиться в остальной своей деревне.,"Дубровско, проджиндя пэскиро барвалыпэ и банго сыс тэ чюрдэл служба и тэ дживэл дро гаворо, саво ачьяпэ набикиндло.",dubrovsky
15,"Кирила Петрович, узнав о том, предлагал ему свое покровительство, но Дубровский благодарил его и остался беден и независим.","Кирило Петровичё, коли уґалыя ваш адава, то камья тэ дэл лэскэ помогискирибэ, нэ Дубровско отпхэндяпэ и ачьяпэ чёрорэса и на бангэса.",dubrovsky
16,"Спустя несколько лет Троекуров, отставной генерал-аншеф, приехал в свое поместие; они свиделись и обрадовались друг другу.","Змэки накицы бэрша Троекурово, отставнонэ генерал-аншэфоса, явья дрэ пэскири филатин, ёнэ удыкхнэпэ и обрадысалынэ екх екхэскэ.",dubrovsky
17,"С тех пор они каждый день бывали вместе, и Кирила Петрович, отроду не удостоивавший никого своим посещением, заезжал запросто в домишко своего старого товарища. Будучи ровесниками, рожденные в одном сословии, воспитанные одинаково, они сходствовали отчасти и в характерах, и в наклонностях.","Одолэ молостыр ёнэ кажно дывэс сыс кхэтанэ, и Кирило Петровичё, саво, сыр и лыя тэ дживэл про свэто ни кэ кон на сыс, а дро кхэроро пэскирэ пхуранэ товаришшёскиро заджялас бисарэскиро.",dubrovsky
