to;from;sim;source
РОЖДЕНИЕ ЧЕЛОВЕКА Это было в 92-м, голодном году, между Сухумом и Очемчирами, на берегу реки Кодор, недалеко от моря — сквозь веселый шум светлых вод горной речки ясно слышен глухой плеск морских волн.;﻿МАНУШЭСКИРО БИЯНЫПЭ Адава сыс дро 92 бокхало бэрш, машкир Сухумо и Очемчиро, прэ рэка Кодор, надур марёстыр — пирдал святло рэкакиро шумо шукар шундло кашуко морёскиро плеско.;0.8979918360710144;birth
Осень.;Осень.;1.0;birth
В белой пене Кодора кружились, мелькали желтые листья лавровишни, точно маленькие, проворные лососи, я сидел на камнях над рекой и думал, что, наверное, чайки и бакланы тоже принимают листья за рыбу и — обманываются, вот почему они так обиженно кричат, там, направо, за деревьями, где плещет море.;Дрэ парны Кодороскири пена крэнцындлэпэ жолта лавровишнякирэ листэ, сыр тыкнинька лососи. Мэ бэшло сомас про бара ангил рэка и думискирдём, со, ґалёв, чяйки и бакланы прилэна листэ пало маче и обхохавэнапэ, окэ пал одова ёнэ адякэ и дэна годлы, адай про право, пало дрэвы, кай плескинэпэ морё.;0.8114883899688721;birth
Каштаны надо мною убраны золотом, у ног моих — много листьев, похожих на отсеченные ладони чьих-то рук.;Каштаны ангил мандэ укэдынэ сувнакаса, пашыл мирэ ґэра бут листы, савэ сыс сыр отчингирдэ ладони конэскирэ-то вастэндыр.;0.7543113231658936;birth
"Ветви граба на том берегу уже голые и висят в воздухе разорванной сетью; в ней, точно пойманный, прыгает желто-красный горный дятел-расудук, стучит черным носом по коре ствола, выгоняя насекомых, а ловкие синицы и сизые поползни — гости с далекого севера — клюют их.";Грабоскирэ ветки прэ адава брэго ужэ нангэ и сы убладэ дро фано, сыр розрискирды сеть, дрэ латэ хай ухтэла жолто-лоло бэргитко дятло, марла калэ нэкхэса пирэ дрэвоскири цыпа, вытырдэла насекомонэн, а фрэнта синицы и сиза поползни хана лэн.;0.6597442030906677;birth
"Слева от меня по вершинам гор тяжело нависли, угрожая дождем, дымные облака, от них ползут тени по зеленым скатам, где растет мертвое дерево самшит, а в дуплах старых буков и лип можно найти «пьяный мед», который, в древности, едва не погубил солдат Помпея Великого пьяной сладостью своей, свалив с ног целый легион железных римлян; пчелы делают его из цветов лавра и азалии, а «проходящие» люди выбирают из дупла и едят, намазав на лаваш — тонкую лепешку из пшеничной муки.";Мандыр дрэ лево строна, пиро бэргэнгирэ упралыпэна убладынэ тхувитка тучи, лэндыр джяна тени пиро зэлэна скаты, кай барьёла мулытко дрэво самшыто, а дро пхуранэ букоскирэ и липакирэ дуплы можно тэ латхэс маты ягвин, сави дрэ пхурано времё хаськирдя было Помпеёскирэ хэладэн пэскирэ матэ гудлыпнаса и зрадя ґэрэндыр саро римлянэнгиро саструно легионо. Бырля кэрна лэс лавровонэ цвэтэндыр и азалиятыр, и мануша выкэдэна дуплостыр и хана макхи лэса саны мариклы пшэничнонэ яржэстыр.;0.668302595615387;birth
Этим я и занимался, сидя в камнях под каштанами, сильно искусанный сердитой пчелой, — макал куски хлеба в котелок, полный меда, и ел, любуясь ленивой игрою усталого солнца осени.;Адалэса мэ и залавапэ бэшы прэ бар тэло каштанэ, дрэван роздандырдо холямэ бырленца, — чидём марытка котэра дрэ пирори, пхэрды ягвинэса и хаём дыкхи сыр ленивэс кхэлдя кхино осенякиро кхам.;0.7291773557662964;birth
Осенью на Кавказе — точно в богатом соборе, который построили великие мудрецы — они же всегда и великие грешники, — построили, чтобы скрыть от зорких глаз совести свое прошлое, необъятный храм из золота, бирюзы, изумрудов, развесили по горам лучшие ковры, шитые шелками у тюркмен, в Самарканде, в Шемахе, ограбили весь мир и всё — снесли сюда, на глаза солнца, как бы желая сказать ему: — Твое — от Твоих — Тебе. ...Я вижу, как длиннобородые седые великаны, с огромными глазами веселых детей, спускаясь с гор, украшают землю, всюду щедро сея разноцветные сокровища, покрывают горные вершины толстыми пластами серебра, а уступы их — живою тканью многообразных деревьев, и — безумно-красивым становится под их руками этот кусок благодатной земли.;Осеняса про Кавказо, сыр дрэ барвалы кхангири, сави кэрдэ барэ мудрецэ — ёнэ жэ и барэ грэхитка, кэрдэ, соб тэ згаравэн зорконэ якхэндыр пэскиро прогыно, ёнэ кэрдэ адая буґлы кхангири сувнакатыр, бирюзатыр, изумрудэндыр, розубладэ пиро бэрги сама лаче ковры, сыдэ пхарэса тюркменэндэ дро Самаркандо, дрэ Шэмахо, отлынэ сарэ свэтостыр и саро — слыджинэ адарик прэ кхамэскирэ якха, сыр бы ками тэ пхэнэн лэскэ: — Тыро — тырэндыр — тукэ. ...Мэ дыкхава, сыр длэнгонэ чёрэнгирэ сыва великанэ барэ чяворытконэ якхэнца змэкэнапэ бэргэндыр и укэдэна пхув, сеинэна битангипнаскиро разноцвэтна барвалыпэна, учякирна бэргитка упралыпэна грубонэ руповонэ пластэнца, а лэнгирэ уступы джидонэ разнодрэвэнгирэ тканяса и дрэван гожо тэрдёла тэл лэнгирэ васта адая пхув.;0.7681185603141785;birth
Превосходная должность — быть на земле человеком, сколько видишь чудесного, как мучительно сладко волнуется сердце в тихом восхищении пред красотою!;Дрэван шукир тэ явэс прэ пхув манушэса, кицы миштыпэ дыкхэса, сыр марлапэ ило дрэ адава гожыма.;0.4388408660888672;birth
Ну, да — порою бывает трудно, вся грудь нальется жгучей ненавистью и тоска жадно сосет кровь сердца, но это — не навсегда дано, да ведь и солнцу часто очень грустно смотреть на людей: так много потрудилось оно для них, а — не удались людишки...;Нэ пораса сы пхарэс, саро колын пхэрдякирлапэ хачкирдэ холяса и э мэнькаса барэ зорьяса тырдэла илэстыр о рат, нэ адава на постоянно, тэ и э кхамэскэ на шукар тэ дыкхэл прэ манушэндэ: адякэ ёв бут кэрдя ваш лэнгэ, а на удынэпэ манушорэ...;0.735831618309021;birth
