to;from;sim;source
На затравевшем дворе колхозного правления было тихо, как на выгоне за хутором.;Прэ колхознонэ правлениёскири сари дрэ чяр грэда сыс адасаво тихима, сыр про лэнго, кай ракхьяпэ ското.;0.7439918518066406;brigada
Под полуденным солнцем ржавые черепицы амбарной крыши тепло и тускло блестели, но в тени сараев, на примятой траве еще висели литые, тяжелые зерна дымчато-сиреневой росы.;Пашдывэсытконэ кхамэстыр заржавимэ черепицы прэ пиралякири крыша блестиндлэ татэс и наяркэс, нэ дрэ тень, сави пэрлас сараендыр, прэ прямо чяр инкэ убладынэ пхарэ дымчято-сиренева росакирэ зёрны.;0.6664023399353027;brigada
Обчесанная, безобразная в своей худобе овца стояла среди двора, раздвинув захлюстанные ноги, а рядом, припав на колени, проворно толкала вымя белошерстая, как мать, ярка.;Машкир грэда тэрды сыс ростхови ґэра обґандлы бакри дрэван нагожо одолэстыр, со адасави шуки, а пашыл латэ, припэри про чянга, толкиндя вымё парно сыр дай бакроро.;0.6633762717247009;brigada
Любишкин въехал во двор верхом на маленькой подсосой кобыленке.;Любишкино вгыя прэ грэда уклисто прэ тыкниньконэ граснорьятэ.;0.8275175094604492;brigada
Проезжая мимо сарая, он озлобленно хлестнул плетью козленка, смотревшего на него с крыши зелеными дьявольскими глазами, буркнул: — Все бы ты верхолазничал, разнечистый дух!;Прогыи мамуй сараё ёв холямэс мэладя чюпняса тыкниньконэ бузнэс, саво дыкхья прэ лэстэ крышатыр зэлэнонэ бэнганэ якхэнца, дыяпэ прэ лэстэ: — Уса бы тукэ пиро крышы тэ ухтэс, бэнгано рат!;0.7481181621551514;brigada
Кызь отседова!;Аври адатхыр!;0.7807486057281494;brigada
Зол и хмур был Любишкин.;Любишкино сыс дрэван розхолясымэ.;0.7165342569351196;brigada
Он прискакал из степи и, не заезжая домой, направился в правление.;Ёв притрадыя фэлдатыр и на загыи кхэрэ, гыя дро правлениё.;0.8251011371612549;brigada
За его мухортенькой кобылкой, глухо побрякивая привязанным к шее балабоном, неся пушистый хвост наотлет, бежал тонконогий, с утолщенными бабками жеребенок.;Пал лэскирэ тыкниньконэ граснорьятэ прастандыя санэґэрэнгиро угрубякирдэ бабкэнца кхуроро, кашукэс брякиндя припхандло кэ лэскири мэн болобоно.;0.4532884955406189;brigada
"По росту Любишкина кобыла была так мала, что распущенная стременная скошевка болталась чуть не ниже ее колен; казалось, что согбенный всадник, как в сказке, несет лядащую лошаденку промеж своих богатырских ног…";"Грасны сыс про адакицы тыкныдыр Любишкиностыр, со розмэклы стремянно скошевка болтындяпэ, набут на тэлыдыр лэскирэ чянгэндыр; здэласпэ, со збандимэ мануш прэ грэстэ, сыр дрэ парамыся, лыджяла бэдэ цыпос машкир пэскнрэ зоралэ ґэра...";0.7610845565795898;brigada
