to;from;sim;source
С моря дул влажный, холодный ветер, разнося по степи задумчивую мелодию плеска набегавшей на берег волны и шелеста прибрежных кустов.;Энакэ сыр дывэс и рат прастана, екх палэ екхэстэ пиро пхув, адякэ и ту праста э-думатыр пало джиибэ, собы тэ роскамэс ла.;0.31357890367507935;cudra
"Изредка его порывы приносили с собой сморщенные, желтые листья и бросали их в костер, раздувая пламя; окружавшая нас мгла осенней ночи вздрагивала и, пугливо отодвигаясь, открывала на миг слева — безграничную степь, справа — бесконечное море и прямо против меня — фигуру Макара Чудры, старого цыгана,— он сторожил коней своего табора, раскинутого шагах в пятидесяти от нас.";На дыкхи прэ одова, со шылалы балвал роскэрдя лэскиро дро бала калын и марла лэс, ёв пашло дрэ гожо, зоралы поза, муеса кэ мэ и тырдэла пэскирэ барэ пипкатыр кирки, дыкхэла карик-то пирдал миро шэро дрэ калы фэлда и напирьячи ракирла манца.;0.5467743873596191;cudra
Не обращая внимания на то, что холодные волны ветра, распахнув чекмень, обнажили его волосатую грудь и безжалостно бьют ее, он полулежал в красивой, сильной позе, лицом ко мне, методически потягивал из своей громадной трубки, выпускал изо рта и носа густые клубы дыма и, неподвижно уставив глаза куда-то через мою голову в мертво́ молчавшую темноту степи, разговаривал со мной, не умолкая и не делая ни одного движения к защите от резких ударов ветра.;На дыкхи прэ одова, со шылалы балвал роскэрдя лэскиро дро бала калын и марла лэс, ёв пашло дрэ гожо, зоралы поза, муеса кэ мэ и тырдэла пэскирэ барэ пипкатыр кирки, дыкхэла карик-то пирдал миро шэро дрэ калы фэлда и напирьячи ракирла манца.;0.6913741827011108;cudra
— Так ты ходишь?;— Адякэ ту псирэса?;0.8546589612960815;cudra
Это хорошо!;Ада шукар!;0.7640947103500366;cudra
Ты славную долю выбрал себе, сокол.;Ту лачё джиибэ выкэдыян пэскэ, чириклэса дживэса.;0.6032997369766235;cudra
Так и надо: ходи и смотри, насмотрелся, ляг и умирай — вот и все!;Адякэ и требинэ: псир и дыкх, кхинёса тэ дыкхэс, пасёв и мэр — окэ и capo.;0.786270260810852;cudra
— Жизнь?;— Джиибэ?;0.9045782089233398;cudra
Иные люди? — продолжал он, скептически выслушав мое возражение на его «так и надо».— Эге!;Ваврэ мануша? — ракирдя дурыдыр ёв, на ками вышундя миро ракирибэ прэ лэскиро «адякэ и требинэ». Эгэ!;0.7783124446868896;cudra
А тебе что до этого?;А тукэ со жыко адава?;0.8224879503250122;cudra
Разве ты сам — не жизнь?;Ту кокоро джиибэ!;0.26394122838974;cudra
Другие люди живут без тебя и проживут без тебя.;Ваврэ мануша дживэна би тыро и продживэна би тыро.;0.6470312476158142;cudra
Разве ты думаешь, что ты кому-то нужен?;Ту дэса пэскэ дума, со ту конэскэ то сан треби?;0.7154161334037781;cudra
Ты не хлеб, не палка, и не нужно тебя никому.;Ту на маро, на кашт и на треби ту ни конэскэ.;0.89351487159729;cudra
— Учиться и учить, говоришь ты?;— Тэ сыклёс и тэ сыклякирэс, ракирэса ту?;0.8755322694778442;cudra
А ты можешь научиться сделать людей счастливыми?;А ту на джинэс, сыр тэ высыклёс тэ кэрэс манушэн бахталэнца?;0.7769930362701416;cudra
Нет, не можешь.;На, на джинэс!;0.6345418095588684;cudra
Ты поседей сначала, да и говори, что надо учить. Чему учить?;Ту англэдыр ячь сыво, тэ отэнчя и ракир, со треби тэ сыклякирэс: Кэ со тэ сыклякирэс?;0.6307501792907715;cudra
Всякий знает, что ему нужно.;Сарэ джинэн, со лэнгэ треби.;0.8156673312187195;cudra
Которые умнее, те берут что есть, которые поглупее — те ничего не получают, и всякий сам учится...;Савэ годьварэдыр, одолэ лэна, со сы, савэ би годякирэ — одолэ ничи на лэна и каждо кокоро сыклёла.;0.7054142951965332;cudra
— Смешные они, те твои люди.;— Сабнытка ёнэ одолэ, тырэ мануша.;0.7402180433273315;cudra
Сбились в кучу и давят друг друга, а места на земле вон сколько,— он широко повел рукой на степь.— И всё работают.;Смардэпэ кхэтанэ и тасавэна екх екхэс, а о-штэты прэ пхув энакэ кицы, — и ёв буглэс розлыджия э вастэнца пирэ фэлда. — И сарэ бутякирна.;0.8158488869667053;cudra
Зачем?;Палсо?;0.7990905046463013;cudra
Кому?;Конэскэ?;0.8975009918212891;cudra
Никто не знает.;Никон на джинэл.;0.8183477520942688;cudra
Видишь, как человек пашет, и думаешь: вот он по капле с потом силы свои источит на землю, а потом ляжет в нее и сгниет в ней.;Дыкхэс, сыр мануша оббутякирна пхув и дэса дума. Окэ ёв кхамлёла и нашавэла э-зор пэскири дрэ пхув, а отэнчя пасёла дрэ латэ.;0.5880540013313293;cudra
Ничего по нем не останется, ничего он не видит с своего поля и умирает, как родился,— дураком.;Ничи пал лэстэ на ачелапэ, ничи ёв на удыкхэла пэскирэ фэлдатыр и мэрла, сыр бияндыя, — дылынэса.;0.7488560676574707;cudra
— Что ж,— он родился затем, что ли, чтоб поковырять землю, да и умереть, не успев даже могилы самому себе выковырять?;— Со-жэ, ёв бияндыя пало одова, co-ли, собы тэ порандэл э-пхув и тэ мэрэл, на кэри кокоро пэскэ колбань?;0.741645097732544;cudra
Ведома ему воля? Ширь степная понятна? Говор морской волны веселит ему сердце? Он раб — как только родился, всю жизнь раб, и все тут! Что он с собой может сделать?;Со ёв кэрэла пэса?;0.39183828234672546;cudra
Только удавиться, коли поумнеет немного.;Токо тэ утасадёл, коли набут явэла погодьварэдыр.;0.6301018595695496;cudra
— А я, вот смотри, в пятьдесят восемь лет столько видел, что коли написать все это на бумаге, так в тысячу таких торб, как у тебя, не положишь.;— А мэ, окэ дыкх дрэ пандждэша охто бэрш адакицы дыкхьём, со коли тэ чинав capo адава прэ папира, то дрэ тысенцы адасавэ ґонэ, сыр тутэ ґоно, на учивэсас.;0.8409637808799744;cudra
А ну-ка, скажи, в каких краях я не был?;А нэка, пхэн, дрэ савэ ту штэты санас?;0.6895556449890137;cudra
И не скажешь.;И на пхэнэса.;0.9280439019203186;cudra
