to;from;sim;source
"ДРУЖКИ Одного из них звали Пляши-нога, а другого — Уповающий; оба они были воры.";﻿ДРУЖКЭ Екхэс лэндыр кхардэ Кхэл-Ґэрой — ваврэс Уповаюшшё сарэ дуй ёнэ сыс чёра.;0.5249436497688293;priboj
Жили они на окраине города, в слободе, странно разметавшейся по оврагу, в одной из ветхих лачуг, слепленных из глины и полусгнившего дерева, похожих на кучи мусора, сброшенные в овраг.;Ёнэ бокхалэ, насвалэ сыкавэнаспэ пэскирэ ровостыр, о ило лэнгиро бария, дыкхи прэ фэлды, кай кажнонэ дывэсэса уса сыгыдыр хасёлас ив, сыкадёлас э пхув, лужы блестиндлэ сыр гиндалы, локхэс багандлэ ручьи.;0.5528798699378967;priboj
Воровать дружки ходили в ближайшие к городу деревни, ибо в городе воровать трудно, а в слободке у соседей украсть было нечего.;Тэ чёрэн о дружкэ псирдэ дро пашылатунэ гава, дрэ форыцо тэ чёрэс нашты сыс, а дрэ слободка на сыс со.;0.5217419862747192;priboj
Оба они люди скромные: стащат кусок полотна, армяк или топор, сбрую, рубаху или курицу и уже долго потом не посещают деревню, в которой им удалось что-нибудь «слямзить».;Сарэ дуй ёнэ сыс мануша накя розмэклэ: стырдэнас похтан, армяко, товэр, сбруя, гад или каґня и отэнчя на сыго заджянас дрэ адава гав.;0.7645853757858276;priboj
Но, несмотря на такой умный образ действий, подгородные мужики хорошо знали их и грозились, при случае, избить до смерти.;Нэ надыкхи прэ адасаво годьваро лыджяибэ пэскиро рэндо пашэфоритка гадже шукар джиндлэ лэн и ракирдэ, со коли попэрнапэ то марэна лэн жыко мулыпэ.;0.6441333889961243;priboj
Однако такого случая не представлялось мужикам, и кости двух друзей были целы, хотя уже лет шесть кряду друзья слушали угрозы мужиков.;Нэ адава гадженгэ на удэласпэ, и кокалы дуе дружкэнгирэ сыс састэ, на дыкхи прэ одова, со ёнэ шов бэрш шунэна адасавэ гадженгирэ лава.;0.7303209900856018;priboj
Пляши-нога был человек лет сорока, высокий, сутулый, худой и жилистый.;Кхэл-ґэрой сыс мануш штардэша бэршэнгиро, учё, сутуло, шуко и жылисто.;0.8229385018348694;priboj
Он ходил, опустив голову к земле, заложив за спину длинные руки, шагая неторопливо, но широко, и на ходу он всегда оглядывался по сторонам озабоченно прищуренными, беспокойно зоркими глазами.;Ёв псирдя змэки шэро кэ пхув, зачёви пало думо длэнга васта, псирдя на сыгэс, нэ буґлэс и обдыкхьяпэ пиро строны.;0.5208704471588135;priboj
"Волосы на голове он стриг, бороду брил; густые, сивые солдатские усы закрывали ему рот, придавая лицу его ощетинившееся, суровое выражение.";"Бала про шэро ёв обчинэлас, чёра обмуравэлас; гэнста сыва хэладытка вэнцы закэрэнас муй и придэнас лэскэ холямыпэ.";0.5378174185752869;priboj
"Левая нога у него, должно быть, была вывихнута или сломана и срослась так, что стала длиннее правой; когда он, шагая, поднимал её, она у него подпрыгивала в воздухе и виляла в сторону; эта особенность походки и дала ему прозвище.";"Лево ґэрой лэстэ сыс выбулады или пхагирды и збарияпэ адякэ, со ачья длэнгыдыр правонатыр; коли ёв псири, ґаздыя ла, ёй лэстэ подурнялас дро фано и вырисёлас дрэ строна палэ адасаво псирибэ лэс и прокхардэ Кхэл-ґэрой.";0.7329506278038025;priboj
Уповающий был старше товарища лет на пять, ниже ростом, шире в плечах. Он часто и глухо кашлял, лицо его, скуластое, обросшее большой чёрной с проседью бородой, покрывала болезненная желтизна.;Уповаюшшё сыс пхурыдыр пэскирэ товаришшёстыр бэрша про пандж, барипнаса тыкныдыр, дрэ псикэ буґлыдыр. ёв чястэс и кашукэс кашлиндя, лэскиро муй сыс буґло и жолто, оббария барэ калэ седонэ чёрэнца.;0.734000563621521;priboj
Глаза у него большие, чёрные, а смотрели виновато, ласково.;Якха лэстэ барэ калэ и дыкхнэ адякэ сыр бы ёв сыс дро со-то банго.;0.3460638225078583;priboj
На ходу он складывал губы сердечком и тихо насвистывал песню, печальную, всегда одну и ту же.;Дро псирибэ ушта стховэлас илорэса и тангэс вышолякирлас гилы, уса екх и одоя жэ.;0.5469068288803101;priboj
"На плечах у него болталась короткая одёжина из разноцветных лохмотьев — что-то похожее на ватный пиджак; а Пляши-нога ходил в длинном сером кафтане, подпоясанном кушаком.";Прэ псикэ лэстэ сыс убладо надлэнго урибэ саро разноцвэтытконэ шматэндыр, а Кхэл-ґэрой псирдя дро длэнго армяко подпхандло кустыкаса.;0.36609509587287903;priboj
Уповающий был крестьянином, его товарищ — сын пономаря, бывший лакей и маркёр.;Уповаюшшё сыс крестьяниноса, лэскиро товаришшё — пономарёскирэ чявэса, сыс хартоса и маркероса.;0.8559622764587402;priboj
Их всегда видели вместе, и крестьяне говорили при виде их: — Опять дружки появились — гляди в оба!;Лэн кажно моло дыкхнэ кхэтанэ и гадже ракирдэ, коли удыкхэна лэн: — Нэ дружкэ явлэ — дыкхэн дрэ сарэ дуй!;0.7456725239753723;priboj
А дружки шли где-нибудь просёлочной дорогой, зорко поглядывая по сторонам и избегая встреч.;А дружкэ гынэ кай на яви барэ дромэса, дыкхнэ пиро строны, собы тэ на попэрэспэ конэскэ прэ якха.;0.692073404788971;priboj
"Уповающий кашлял и насвистывал свою песню; а нога его товарища плясала в воздухе, как бы стремясь оторваться и убежать в сторону с опасного пути своего хозяина.";"Уповаюшшё кашлиндя и дыя шоля; а ґэрой лэскирэ товаришшескири кхэлдя дро фано, сыр бы ками тэ отрискирдёл и тэ упрастал дрэ строна даранэ дромэстыр, пиро саво псирла лэскиро хулай.";0.806655764579773;priboj
Или они лежали где-нибудь на опушке леса, во ржи, в овраге и тихо разговаривали о том, как украсть, чтобы поесть.;Или сыс пашлэ кай пашо вэш, дро гив, дро рово, тэ тихэс ракирдэ ваш одова, сыр тэ чёрэс соб тэ явэс чялэнца.;0.7332688570022583;priboj
Зимою даже и волки, — более приспособленные к борьбе за свою жизнь, чем два друга, — плохо живут.;Ивантаса и рува, савэндэ бутыдыр сыс зор дрэ марибэ пало джиибэ, нашукар дживэна.;0.4730147123336792;priboj
Тощие, голодные и злые, они рыскают по дорогам, и хотя их убивают, но — боятся: у них есть когти и зубы для самозащиты, сердца их ничем не смягчены.;Бокхалэ и холямэ, урняна пиро дрома, прэ лэндэ чюрдэнапэ, соб тэ умарэс, нэ — дарна: лэндэ сы ная и данда, соб тэ отмарэспэ, лэнгирэ илэ на джинэн ковлыпэ.;0.818776547908783;priboj
