to;from;sim;source
Глава I Несколько лет тому назад в одном из своих поместий жил старинный русский барин, Кирила Петрович Троекуров.;Глава I Бут бэрша одолэскэ палэ дрэ екх пэскирэ филатинэндыр джиндя пхурано русско рай, Кирило Петровичё Троекурово.;0.8958306908607483;dubrovsky
Его богатство, знатный род и связи давали ему большой вес в губерниях, где находилось его имение.;Лэскиро барвалыпэ, славутно родо и спхандыпэна дэнас лэскэ баро тырдыпэ дрэ губерния, кай сыс лэскири филатин. Збалындло сарэса, со только сыс пашыл лэстэ, ёв присыклыя тэ дэл пхэрды воля сарэскэ, со лэскэ закамэлпэ и сарэ затеенгэ ваш лэскирэ дрэван набарэ годякэ.;0.6767256259918213;dubrovsky
"Соседи рады были угождать малейшим его прихотям; губернские чиновники трепетали при его имени;";"Пашылатунэ рая радымаса могискирдэ тэ кэрэн со наяви ваш лэскири угода; форитка чиновникэ трэнскирнаспэ дарипнастыр, коли кон рипирлас лэскиро лав;";0.648190975189209;dubrovsky
"Кирила Петрович принимал знаки подобострастия как надлежащую дань; дом его всегда был полон гостями, готовыми тешить его барскую праздность, разделяя шумные, а иногда и буйные его увеселения.";"Кирило Петровичё прилэлас подобострастиёскирэ знакэ, сыр трэбимо дань; лэскиро кхэр кажно дывэс сыс пхэрдо манушэнца, савэ могискирдэ тэ тешынэн лэскири раскири праздность.";0.7801564335823059;dubrovsky
Никто не дерзал отказываться от его приглашения или в известные дни не являться с должным почтением в село Покровское.;Никон на могискирдя тэ отпхэнэлпэ, коли Кирило Петровичё покхарлас кэ пэ, или дро трэбима дывэса тэ на явэн э трэбимэ почтениёса дрэ филатин Покровско.;0.6926859617233276;dubrovsky
В домашнем быту Кирила Петрович выказывал все пороки человека необразованного.;Дрэ пэскиро джиибэ кхэрэ Кирилло Петровичё сыкавэлас сарэ накультурна манушэскирэ пороки.;0.8267627358436584;dubrovsky
Избалованный всем, что только окружало его, он привык давать полную волю всем порывам пылкого своего нрава и всем затеям довольно ограниченного ума.;Надыкхи прэ дрэван бари зор, ёв молы дуй дро курко сыс насвало одолэстыр, со обхаласпэ и кажно бельвель сыс выпии.;0.48749297857284546;dubrovsky
Несмотря на необыкновенную силу физических способностей, он раза два в неделю страдал от обжорства и каждый вечер бывал навеселе.;Гадженца и кхэритконэнца ёв обджяласпэ дрэван холямэс.;0.25212448835372925;dubrovsky
"В одном из флигелей его дома жили шестнадцать горничных, занимаясь рукоделиями, свойственными их полу. Окна во флигеле были загорожены деревянною решеткою; двери запирались замками, от коих ключи хранились у Кирила Петровича. Молодые затворницы в положенные часы сходили в сад и прогуливались под надзором двух старух. От времени до времени Кирила Петрович выдавал некоторых из них замуж, и новые поступали на их место. С крестьянами и дворовыми обходился он строго и своенравно; несмотря на то, они были ему преданы: они тщеславились богатством и славою своего господина и в свою очередь позволяли себе многое в отношении к их соседам, надеясь на его сильное покровительство.";;0;dubrovsky
"Всегдашние занятия Троекурова состояли в разъездах около пространных его владений, в продолжительных пирах и в проказах, ежедневно притом изобретаемых и жертвою коих бывал обыкновенно какой-нибудь новый знакомец; хотя и старинные приятели не всегда их избегали за исключением одного Андрея Гавриловича Дубровского.";Кажнонэ Троекуровонэскирэ залыибнаса сыс обгыибэ прэ грэстэ пэскирэ барэ филатина, длуга пиры и проказэ, савэ ёв кажно дывэс кэрлас и жэртваса савэнгирэнца сыс саво наяви нэво мануш, нэ и пхуранэ приятелёскэ налокхо сыс тэ вырисёл адалэ проказэндыр на гины екхэ Андреёс Гавриловичёс Дубровсконэс.;0.7994396090507507;dubrovsky
Сей Дубровский, отставной поручик гвардии, был ему ближайшим соседом и владел семидесятью душами.;Адава Дубровско, отставно гвардиякиро поручико, сыс лэскэ надуратунэ соседоса. Дубровсконэстэ сы эфтадэша крепостна мануша.;0.6894716620445251;dubrovsky
