to;from;sim;source
ЕМЕЛЬЯН ПИЛЯЙ — Ничего больше не остается делать, как идти на соль!;Гинэла о лылваря, пэса лэн тырдэла, а тэ полэл манушэс на джинэл!;0,4301890730857850;emelyan
Солона эта проклятущая работа, а все ж таки надо взяться, потому что этак-то, не ровен час, и с голоду подохнешь.;Токо окэ дыкхэса ли пшалоро про лон, адава адякэ жэ рэндо на авэла, хоть амэ и джяса.;0,5031949281692510;emelyan
Проговорив это, мой товарищ Емельян Пиляй в десятый раз вынул из кармана кисет и, убедившись, что он так же пуст, как был пуст и вчера, вздохнул, сплюнул и, повернувшись на спину, посвистывая, стал смотреть на безоблачное, дышавшее зноем небо.;Проракирдя адава, миро товаришшё Емельяно Пиляё дрэ дэшатуно моло и вылыя кисыкатыр киркитко гоноро и удыкхи, со дрэ лэстэ ничи нанэ, сыр на сыс и атасярла, дыя ґондя и порисии прэ думо, лыя тэ дыкхэл дрэ би тученгиро — лынаитко болыбэ.;0,7523204684257510;emelyan
Мы с ним, голодные, лежали на песчаной косе верстах в трех от Одессы, откуда ушли, не найдя работы.;Амэ лэса пашлэ самас бокхалэ прэ прахо дро трин километры Одессатыр, катыр угыям, на латхи буты.;0,7459473609924320;emelyan
Емельян протянулся на песке головой в степь и ногами к морю, и волны, набегая на берег и мягко шумя, мыли его голые и грязные ноги.;Емельяно протырдыяпэ прэ прахо э-шэрэса дрэ фэлда, э ґэрэнца ко морё, и о-волны ковлэс шуминдлэ, мардэ лэскирэ пирангэ, мэлалэ ґэра.;0,8120233416557310;emelyan
Жмурясь от солнца, он то потягивался, как кот, то сдвигался ниже к морю, и тогда волна окатывала его чуть не до плеч.;Ёв закэрлас о-якха э-кхамэстыр, потырдэласпэ сыр мыца набут по набут пэрлас э-брэгостыр ко морё, и отэнчя о-волны обдэнас лэс жыко псикэ.;0,70158451795578;emelyan
Это ему нравилось.;Адава лэскэ адякэ камьяпэ.;0,5766976475715640;emelyan
Я взглянул в сторону гавани, где возвышался лес мачт, окутанных клубами тяжелого черно-сизого дыма, оттуда плыл глухой шум якорных цепей, свист локомотивов.;Мэ вздыкхьём прэ гавань, кай ґаздэнаспэ, сыр вэш о-мачты, савэ сыс дрэ тхув. Одотхыр сыс шундло кашуко шумо э-якоренгирэндыр састэррэндыр.;0,6106288433074950;emelyan
Я не усмотрел там ничего, что бы возродило нашу угасшую надежду на заработок, и, вставая на ноги, сказал Емельяну: — Ну что ж, идем на соль!;Мэ на удыкхьём одой нички адасаво, со биянэлас бы дрэ мандэ надежда ко дорэсаибэ и мэ устём прэ ґэра, пхэндём э-Емельяноскэ: — Нэ сож, джяса про лон?;0,8638038039207460;emelyan
— Так... иди!..;— Адякэ... Джя!..;0,9242224097251890;emelyan
А ты сладишь? — вопросительно протянул он, не глядя на меня.;А ту скэрэса? — пучибнаса протырдыя ёв на дыкхи прэ мандэ.;0,9269552230834960;emelyan
— Там увидим.;— Одой удыкхаса.;0,7910139560699460;emelyan
— Так, значит, идем? — не шевеля ни одним членом, повторил Емельян.;— Адякэ, ґалёв, авэн, — проракирдя вавир моло Емельяно.;0,7599130868911740;emelyan
— Ну, конечно!;— Нэ хай-жэ.;0,6591233015060430;emelyan
— Ага!;— Ага!;1,0;emelyan
Что ж, это дело... пойдем!;Со ж, адава рэндо.. явэн!;0,8348894715309140;emelyan
А эта проклятая Одесса — пусть ее черти проглотят! — останется тут, где она и есть.;Адая бэнганы Одесса — мэк ла о-бэнга нэ пронакхавэн! — Нэ ачелпэ адай, кай ёй сыс.;0,7913296222686770;emelyan
Портовый город!;Портово форо!;0,8333802819252010;emelyan
Чтоб те провалиться сквозь землю!;Соб тукэ тэ пропэрэс пирдал пхув!;0,7707394361495970;emelyan
"— Ладно, вставай и пойдем; руганью не поможешь.";— Авэла, ушты и авэн, кошыбнаса на помогискирэса.;0,7370011210441590;emelyan
— Куда пойдем?;— Карик джяса?;0,7788670063018800;emelyan
Это на соль-то?..;Адава про лон?..;0,7299774885177610;emelyan
Так.;Адякэ.;0,810128390789032;emelyan
Только вот видишь ли, братику, на соли этой тоже толку не будет, хоть мы и пойдем.;Токо окэ дыкхэса ли пшалоро про лон, адава адякэ жэ рэндо на авэла, хоть амэ и джяса.;0,7237359881401060;emelyan
— Да ведь ты же говорил, что нужно туда идти.;— Так ту жэ пхэндян, со треби одорик тэ джяс.;0,8542945981025700;emelyan
— Это верно, я говорил.;— Адава чячё, мэ ракирдём.;0,8324012756347660;emelyan
"Что я говорил, так говорил; уж я от своих слов не откажусь.";Со мэ ракирдём, так ракирдём, мэ пэскирэ лавэндыр на отпхэнавапэ.;0,6898084878921510;emelyan
А только не будет толку, это тоже верно.;А токо рэндо на явэла, адава тожэ чячё.;0,801085352897644;emelyan
— Да почему?;— Тэ соскэ?;0,8866382241249080;emelyan
— Почему?;— Соскэ?;0,9067912697792050;emelyan
А ты думаешь, что там нас дожидаются, дескать, пожалуйста, господа Емельян да Максим, сделайте милость, ломайте ваши кости, получайте наши гроши!..;А ту думискирэса, со одой амэн дужакирэна, дескать, авэнте раялэ Емельяно тэ Максимо, дарэнте дэвлэстыр, пхагирэнте тумарэ кокалы, лэнте амарэ ґаспря!..;0,9006934762001040;emelyan
Ну нет, так не бывает!;Так на жэ, адякэ на явэла!;0,925782322883606;emelyan
Дело стоит вот как: теперь ты и я — полные хозяева наших шкур...;О-рэндо тэрдо окэ сыр: акана ту и мэ-пхэрдэ хулая амарэ цыпакэ...;0,7816272377967830;emelyan
— Ну ладно, будет! Пойдем!;— Нэ шукар, авэла! авэн!;0,9005672931671140;emelyan
— Погоди! Должны мы пойти к господину заведывающему этою самою солью и сказать ему со всем нашим почтением: «Милостивый господин, многоуважаемый грабитель и кровопийца, вот мы пришли предложить вашему живоглотию наши шкуры, не благоугодно ли вам будет содрать их за шестьдесят копеек в суточки!»;— Тэрдёв, бангэ амэ тэ джяс ко рай заведуюшшё адалэ самонэ лонэса ,и тэ пхэнас лэскэ сарэ амарэ почтениёса: «Милостиво рай, грабителё и ратыткопиибнаскиро, окэ амэ авьям тэ пхэнас тумарэ жывоглотёескэ амарэ цыпы нашты ли тумэнгэ тэ срискирэс пало 60 ґасприня о-дро дывэс!;0,7773762941360470;emelyan
И тогда последует...;И отэнчя явэла...;0,8722111582756040;emelyan
— Ну вот что, ты вставай и пойдем.;— Нэ окэ со, ушты и явэн.;0,8581042885780330;emelyan
До вечера придем к рыбацким заводам, поможем выбрать невод — накормят ужином, может быть.;Кэ белввель яваса кэ мачюнэ заводы, помогискираса тэ выкэдас о-неводо — почяравэна амэн э-хабнаса пало адава.;0,7144954204559330;emelyan
— Ужином?;— Хабнаса?;0,9291846752166750;emelyan
Это справедливо.;Адава чячё.;0,703474760055542;emelyan
"Они накормят; рыбачки народ хороший.";Ёнэ почяравэна. Мачюнытка мануша лаче.;0,5184988975524900;emelyan
Пойдем, пойдем...;Явэн! Явэн!..;0,7186357975006100;emelyan
Но уж толку, братец ты мой, мы с тобой не отыщем, потому — незадача нам с тобой всю неделю, да и все тут.;Тэ уж рэндо, пшала, ту миро амэ на латхаса, пало адава незадачя амэнгэ туса capo курко, тэ и capo адай.;0,7187484502792360;emelyan
Он встал, весь мокрый, потянулся и засунул руки в карманы штанов, сшитых им из двух мучных мешков, пошарил там и юмористически оглядел пустые руки, вынув их и поднеся к лицу.;Ёв устя capo киндо, потырдыяпэ и зачидя о-васта дрэ холовакирэ кисыка, савэ ссыдэ сыс лэса дуе яржытконэ ґонэндыр, пошариндя одой и׳сабныткэс обдыкхья о-чюче васта, вытырдыя лэн подлыджии ко муй.;0,7550719380378720;emelyan
— Ничего!..;— Ничи!..;0,9602047801017760;emelyan
Четвертый день ищу, и все — ничего!;Штарто дывэс родава и уса-ничи!;0,6978521347045900;emelyan
Дела, братец ты мой!;О-рэнды пшала ту миро!;0,5809930562973020;emelyan
Мы пошли берегом, изредка перекидываясь друг с другом замечаниями.;Амэ гыям э-брэгоса, ракири екх екхэса.;0,5723919868469240;emelyan
Ноги вязли в мягком песке, перемешанном с раковинами, мелодично шуршавшими от мягких ударов набегавших волн.;О-ґэра вязли дро ковло прахо, пирикэрдо раковинэнца.;0,1593107283115390;emelyan
Изредка попадались выброшенные волной студенистые медузы, рыбки, куски дерева странной формы, намокшие и черные...;Тэло ґэра попэрнас вычюрдынэ э-панеса мачёрэ, дрэвоскирэ котэрорэ киндэ и калэ...;0,5365458130836490;emelyan
С моря набегал славный свежий ветерок, опахивал нас прохладой и летел в степь, вздымая маленькие вихри песчаной пыли.;Э-морёстыр гыя лачи балвал и обдыя амэн шылыпнаса.;0,14155073463916800;emelyan
Емельян, всегда веселый, видимо унывал, и я, замечая это, стал пытаться развлечь его.;О-Емельяно всегда весело змэкья о-накх и мэ дыкхи прэ адава лыём лэс розвлекать.;0,648739218711853;emelyan
— Ну-ка, Емеля, расскажи что-нибудь!;— Нэ-ка Емеля, роспхэн со на яви.;0,719447910785675;emelyan
— Рассказал бы я тебе, брат, да говорилка слаба стала, потому — брюхо пустует.;— Роспхэнавас бы мэ тукэ, пшала, тэ роспхэныбнаскири би зорьякиро, пало адава — о-пэр чюче.;0,7356000542640690;emelyan
Брюхо в человеке — главное дело, и какого хочешь урода найди — а без брюха не найдешь, дудки!;О-пэр дрэ манушэстэ баро рэндо, и савэс ками манушэс латх, а би пэрэскиро на латхэса, дудки!;0,6719807386398320;emelyan
"А как брюхо покойно, значит и душа жива; всякое деяние человеческое от брюха происходит...";А сыр о-пэр чяло, адякэ и о-ди джидо: сарэ рэнды манушэскирэ э-пэрэстыр джяна.;0,6627867817878720;emelyan
