to;from;sim;source
К РАБОЧИМ И КРЕСТЬЯНАМ В Москве Верховный Суд рабочих и крестьян Союза Социалистических Советов судит людей, которые организовали контрреволюционный заговор против рабоче-крестьянской власти.;Дрэ Москва упратуно (верховно) сэндо бутярьен и гавитконэ гаджен Союзос соцыалистическонэ советэн сэндындя манушэн, савэ кэрдэ контрреволюцыонно зракирибэ тэ хаськирэс советско власть.;0.7052863836288452;ko_but
Пролетарии всех стран, а особенно вы, рабочие Франции и Англии, должны понять смысл этого заговора и его значение для вас, потому что и вам со временем придётся иметь дело с такими же изменниками и предателями, каких судят в Москве.;Пролетарии, сарэ стронэндыр и тумэ, французка и английска бутярья, бангэ тэ полэн адава фрэнто зракирибэн, ваш одова, со и тумэнгэ приджялапэ тэ лыджян адасаво жэ рэндо, адасавэнца жэ манушэнца, савэн акана сэндындлэ дрэ Москва.;0.8487672209739685;ko_but
Эти люди, специалисты по технике, учёные лакеи капиталистов, изгнанных из России, уличены и сознались в целом ряде гнуснейших преступлений против рабочих.;Адалэ мануша, специалисты пиро техника, сыклякирдэ, капиталистэнгирэ харты, протрадымэ Россиятыр, кокорэ приґалынэпэ дрэ бут преступления.;0.7887350916862488;ko_but
Они, пользуясь своими знаниями и доверием Советской власти, вредили всеми способами делу строительства рабочими своего государства равных.;Адалэ древан сыклякирдэ мануша пирдал пэскиро учё сыклякирибэн вгынэ дрэ патив советсконэ властякэ, кэрдэ саро на мишто вашо соцыалистическо кэрибэн и вашо соцыалистическо обшшество, сарэ пхагирнас амэндэ и лыджинэ амаро государствх прэ хась.;0.5811397433280945;ko_but
Они затрудняли развитие промышленности в Союзе Советов, портили всё, что можно испортить, бессмысленно тратили средства и силы трудового народа, стараясь всячески вредить росту и развитию хозяйства страны, они искусственно создавали в Стране Советов пищевой голод.;Ёнэ на дэнас тэ барьён амар промышленностякэ дро Союзо советэн.;0.47810423374176025;ko_but
Всё преступное и подлое, что они делали, делалось ими для того, чтобы расстроить работу Советской власти по развитию хозяйства Союза Советов, создать в Союзе хаос, возбудить недовольство Советской властью в массах народа, особенно — крестьянства.;Хаськирнас саро, со могискирдэ тэ хаськирэн бут промэкэнас явья ловэ и бутяренгири зор. Сарэ зорьятыр домарэнаспэ тэ надэн тэ барьёл амарэ хулаибнаскэ, ёнэ фрэнтэс создэнас дро советско строна бокх.;0.5027029514312744;ko_but
Делалось это ими по соглашению и под руководством тех русских капиталистов, которые эмигрировали из России, приютились в Европе — больше всего в Париже — и которые хотят восстановить свою власть над рабочим классом и крестьянством Союза Советов.;"Саро адава ёнэ кэрнас ваш адава, собы тэ кэрэс саро на мишто дрэ буты советсконэ властя, собы тэ создэс дро Союзо машкир бутярендэ гавитконэ гаджендэ кошэибэн и холы; саро адава ёнэ кэрдэ зракирибнаса и тэло васт одолэн капиталистэн, савэ упрастандынэ Россиятыр, и латхнэ пэскэ штэто дрэ Европа бутыр сарэстыр дро Парижо. Ёнэ камнэ тэ рискирэн палэ пэскири пхураны власть прэ бутярендэ и гавитконэ гаджендэ Союзос Советэн.";0.7012417912483215;ko_but
Разумеется, что русские фабриканты и банкиры не рассчитывают вернуться в Россию вооружённые только своими кулаками и карманами.;Нэ треби тэ прилэс дрэ годы, со Российска фабриканты и о-банкиры на камэна тэ явэн палэ дро Россия пэскирэнца кулакэнца кисыкэнца.;0.8281948566436768;ko_but
Дело всех капиталистов — одинаково во всём мире, дело это — циническая эксплуатация труда рабочих.;Рэндо сарэн капиталистэн екх сы дро саро свэто, рэндо адава — биладжяибнытко эксплоатацыя бутярен (буты явья).;0.6912505030632019;ko_but
Поэтому естественно, что русские капиталисты нашли среди капиталистов Франции и Англии полное сочувствие своим преступным целям.;Акэ пирдал адава треби тэ галёс, со Российка капиталисты латхнэ машкир французсконэ и английсконэ капиталистэндэ пхэрдо сочувствиё пэскирэнгэ мэлалэ рэндэнгэ.;0.801872730255127;ko_but
«Пуанкаре-война», Бриан, Черчилль, Болдуин и прочие авантюристы на службе капитала охотно пошли навстречу целям русских хищников и мошенников.;Пуанкарэ — марибэ (война) Бриано, Черчилё, Болдуино и инке ваврэ хоханэ мануша, савэ исы прэ буты капиталостэ радаса гынэ ґэрой дро ґэрой дрэ мэлало рэндо Российсконэ хишшникэнца.;0.8026443123817444;ko_but
Вместе с теми вредителями, которых в Москве судит Верховный Суд народа, ими выработан план военного вторжения в Союз Советов — план интервенции.;Кхэтанэ одолэ манушэнца, савэн дро Москва сэндынэла упратуно сэндо бутитконэн манушэн. Пуанкарэ ваврэнца исыс создымо плано вашэ интервенцыя, ваврэ лавэнца, плано сыр тэ заухтылэс амари строна.;0.5044463276863098;ko_but
Гнусная и разрушительная работа вредителей в Союзе Советов была затеяна для того, чтоб облегчить армиям интервентов разбойничье нападение на Союз Советов в 1930-31 году.;Адава плано ёнэ камнэ тэ пролыджян дро 1930-31 б.;0.43784183263778687;ko_but
Предполагалось спровоцировать Советскую власть на войну против рабочих и крестьян Польши и Румынии, а рабочим и крестьянам Франции, Англии выступить для защиты этих стран, уже экономически порабощённых капиталом крупных организаций хищников.;Камнэ хохаибнаса тэ создэн адасаво рэндо, собы советско власть тэ джял марибнаса прэ бутярендэ и гавитконэ гаджендэ дрэ Польша и э — Румыния, а бутяренгэ и гавитконэ гадженгэ Францыятыр и Англиятыр тэ джян будто прэ помошшь Польшакэ и Румыниякэ, савэ ґара сы дрэ васта хишшникэндэ каниталистэндэ.;0.7868260145187378;ko_but
Война капиталистам выгодна, они торгуют оружием и хорошо наживаются на крови рабочих.;Марибэн (война) ваш капиталистэнгэ сы кофытко рэндо, ёнэ тимисякирна карэдыненца и барэ кофы лэна прэ бутяренгиро рат.;0.6793141961097717;ko_but
Они не остановятся перед ужасами новой войны, хотя знают, что ужас её превзойдёт всё то, что было в 1914—18 годах.;Лэн на урикирла одова, со лыджяна пэса марибэн и ёнэ шукар джинэн, со марибэн авэла зоралыдыр одолэ марибнастыр, саво исыс дро 1914–1918 б.;0.7036386728286743;ko_but
Капиталисты не пожалеют истребить ещё десятка два, три миллионов рабочих и крестьян.;Капиталисты на потангинэна тэ хаськирэн иньке дуй — трин дэша миллионы бутярен и гавитконэ гаджен.;0.7971714735031128;ko_but
Дело всех капиталистов во всём мире одинаково.;Рэндо сарэн капиталистэн дрэ саро свэто исы екх.;0.8275082111358643;ko_but
Дело рабочих и крестьян тоже одинаково во всём мире: рабочие и крестьяне должны освободить себя от власти капитала, от нищеты и вымирания.;"Рэндо бутярен и гавитконэ гаджен адякэ-жэ исы екх дрэ саро свэто: бутярья и ґавитка гадже бангэ тэ выджян гнётостыр, саво дыкхэна капиталистэндыр; бангэ тэ кэрэн пэскиро джиибэн тэ освободинэспэ капиталостыр и чёрорибнастыр.";0.7534204125404358;ko_but
Рабочие!;Бутярья!;0.7695798873901367;ko_but
Вам давно пора понять, что источник всего зла и горя, всех несчастий и уродств жизни, источник этот - жадность ничтожного меньшинства людей, которые одичали, обезумели от жажды накопления денег и беззаконно, бессмысленно командуют жизнью трудового большинства, растрачивая его силы, истребляя сокровища земли, которые принадлежат вам.;Тумэнгэ ґара треби тэ полэн, со холы и бибахтало джиибэн создэла нисо вавир, сыр скэмпима кой-савэн манушэн, савэ нашадэ годы скэмпимастыр барэ ловэндыр и явья, бигодякиро чюрдэнапэ джиибнаса бутитконэ манушэн, савэн исы бутырт лэндыр, хаськнрна лэнгири зор, хаськирна ср исы гожо прэ пхув, со саро исы кэрдо тумарэ вастэнца, со исы саро тумаро.;0.6102414131164551;ko_but
Вспомните, что за четыре года империалистической войны потоплены были в морях миллионы тонн металла, добытого и обработанного вами, сожжены миллионы тонн угля, добытого вами, уничтожено неисчислимое количество кожи, тканей и всевозможных продуктов вашего труда.;Зри-пирэнте, со пало штар бэрш марибэн ангил тагаристэ тасадо исыс дро морё миллиарды тонн састыр, саво тумэ дорэсэнас и обкэрнас про заводы пэскирэнца вастэнца, схачькирдэ миллионы тонн вангар саво дорэсэнас тумэ, хаськирдо исыс кицы насгинэса цыпа, тхан и иньке бут вавир, со дорэсэнас и обкэрнас тумарэ бутитка васта.;0.585136890411377;ko_but
Истребляются сокровища, которые принадлежат вам, вашим детям, но, истребляя эти сокровища, разоряя вас, уничтожая миллионы ваших отцов и братьев по крови и по классу, капиталисты наживают жир и золото.;Хаськирэлапэ, саро, со исы тумаро и тумарэ чявэягиро, нэ хаськирлапэ саро адава, кэрна тумэн нишшёнэнца, хаськирэна миллионы тумарэ дадэн и пшалэн пиро рат и пиро классо ваш адава, собы кокорэнгэ адалэстыр тэ тхулён и тэ тховэн пэскэ дро кисыка бут сувнакай.;0.7714878916740417;ko_but
Сотни тысяч рабочих строят суда, которые будут потоплены, делают пушки, пулемёты, ружья, которые послужат в конце концов для того, чтоб убивать вас.;Шэл тысенцы бутярен кэрна корабли, пароходы, савэ авэна потасадэ дро паны, кэрэнапэ карадыня, бомбы, пушки и снаряды и саро адава кэрлапэ ваш одова, собы тэ умарэн тумэн.;0.5979224443435669;ko_but
