to;from;sim;source
МАЛЬВА Море - смеялось.;﻿МАЛЬВА Морё сандяпэ.;0.7927177548408508;malva
Под легким дуновением знойного ветра оно вздрагивало и, покрываясь мелкой рябью, ослепительно ярко отражавшей солнце, улыбалось голубому небу тысячами серебряных улыбок.;Зэлэна волны выпрастана про жолто прахо, и счюрдэна прэ лэстэ парны пена, ёй тихэс биладыя, таиндя про хачкирдо фано, киндякири лэс.;0.5172439813613892;malva
В глубоком пространстве между морем и небом носился веселый плеск волн, взбегавших одна за другою на пологий берег песчаной косы.;Лодка сарэ зорьятыр попаш вгыя про прахо кхэтанэ волнаса и бандякирибнаса про пашваро тэрдыя, а волна спыя палэ дро морё.;0.5844742655754089;malva
Этот звук и блеск солнца, тысячекратно отраженного рябью моря, гармонично сливались в непрерывное движение, полное живой радости.;"Машкир морё и болыбэ сыгэс лыджияпэ джидо зорало волнэнгиро кхэлыбэ; и кхамэскиро блескима, розрискирдо бут тысэнцытконэ морёскирэ бриндэнца, счивэласпэ дрэ напририскирибнытко движэниё пхэрдэ джидэ радаса.";0.5561699271202087;malva
"Солнце было счастливо тем, что светило; море - тем, что отражало его ликующий свет.";"Кхам сыс бахтало одолэса, со светиндя; морё — одолэса, со дрэ лэстэ кхэлдя кхамитко радыпнытко свэто.";0.8144351840019226;malva
"Ветер ласково гладил атласную грудь моря; солнце грело ее своими горячими лучами, и море, дремотно вздыхая под нежной силой этих ласк, насыщало жаркий воздух соленым ароматом испарений.";"Балвал камлэс гладиндя атласно морёскиро колын; кхам таткидя лэс пэскирэ хачкирдэ лученца и морё соибныткэс дыя ґондя тэлэ адая нежно камлыпнаскири зор и чялякирдя хачкирдо фано лондэ кхандыпнаса.";0.5733168125152588;malva
Зеленоватые волны, взбегая на желтый песок, сбрасывали на него белую пену, она с тихим звуком таяла на горячем песке, увлажняя его. Узкая, длинная коса походила на огромную башню, упавшую с берега в море. Вонзаясь острым шпилем в безграничную пустыню играющей солнцем воды, она теряла свое основание вдали, где знойная мгла скрывала землю. Оттуда, с ветром, пролетал тяжелый запах, непонятный и оскорбительный здесь, среди чистого моря, под голубым, ясным кровом неба.;Зэлэна волны выпрастана про жолто прахо, и счюрдэна прэ лэстэ парны пена, ёй тихэс биладыя, таиндя про хачкирдо фано, киндякири лэс.;0.48295044898986816;malva
В песок косы, усеянной рыбьей чешуей, были воткнуты деревянные колья, на них висели невода, бросая от себя паутину теней.;Дро брэгоскиро прахо мачюнэ чешуяса сыс вмардэ кашторэ, прэ лэндэ сыс убладэ неводэ, савэ чюрдынэ пэскирэ тени.;0.6290335059165955;malva
Несколько больших лодок и одна маленькая стояли в ряд на песке, волны, взбегая на берег, точно манили их к себе.;Барэ лодки и екх тыкны тэрдэ сыс дро рядо про прахо, волны впрастанас прэ брэго, хай ваш одова, собы тэ закхарэс лэн кэ пэ.;0.8223642706871033;malva
Багры, весла, корзины и бочки беспорядочно валялись на косе, среди них возвышался шалаш, собранный из прутьев ивы, лубков и рогож. Перед входом в него на суковатой палке торчали, подошвами в небо, валяные сапоги.;Багрэ, веслэ, корзины и бочки росчюрдынэ сыс прэ коса, машкир лэндэ тэрды сыс шатра, сави сыс скэдыны ивакирэ ранендыр, лубкэндыр и рогожэндыр.;0.8138226866722107;malva
И над всем этим хаосом возвышался длинный шест с красной тряпкой на конце, трепетавшей от ветра.;Ангил латэ про суковато кашт убладэ сыс упрэ слядоса тыраха и учидыр сарэстыр сыс выґаздыно длэнго кашт э лолэ шматаса, сави издрандыя балвалятыр.;0.5369464159011841;malva
В тени одной из лодок лежал Василий Легостев, караульщик на косе, передовом посте рыбных промыслов Гребенщикова.;Дрэ шылалыпэ пашыл екх лодка угарадяпэ кхамэстыр и сыс пашло Василиё Легостево Гребеншшиковонэскиро ракхибнари про англатуно промысло.;0.7319307923316956;malva
Лежал он на груди и, поддерживая голову ладонями рук, пристально смотрел в даль моря, к едва видной полоске берега.;Пашло ёв сыс прэ колын, подрикири шэро вастэнца, утходяпэ вастэнца дрэ морёскиро дурипэ, дрэ дуратуны брэгоскири крося (лента).;0.5234366655349731;malva
Там, на воде, мелькала маленькая черная точка, и Василию было приятно видеть, как она все увеличивается, приближась к нему.;Одой про паны кунякирдяпэ тыкны калы точка и Васильёскэ сыс радыпныткэс тэ дыкхэл, сыр ёй уса бария, гыи кэ ёв.;0.7522335052490234;malva
