to;from;sim;source
﻿Революция.;Революцыя.;0.9848828911781311;neverov
Поехал отец в город и Мишу взял с собой.;Тэрдёв пашэ ванта и инькэ удыкхэса ла.;0.3902624845504761;neverov
Приехали, а там народ по улицам ходит, песий поют. Заехали на одну улицу и выехать нельзя.;Приавнэ, а одой мануша прэ гаса псирна, гиля багана, — загынэ прэ екх гаса и тевыджяс латыр нашты. Лыя заглавиё дрэ годы тэвыкэдэл, а ёв лэстэ на выджяла.;0.4828418791294098;neverov
Отец говорит: — Сними шапку, Миша, с флагами идут.;Дад ракирла: — злэ стады, Вано, флагэнца джяна.;0.5661580562591553;neverov
Миша спросил: — А зачем они с флагами ходят?;Вано пучья: — А палсо ёнэ флагэнца псирна?;0.7436277866363525;neverov
Отец сказал: — Революцию рабочие празднуют.;Дад пхэндя: Революцыонно бутяритко свэнко дадывэс.;0.6391024589538574;neverov
Снял шапку Миша, смотрит. Отец тоже без шапки стоит, лошадь под уздцы держит.;Злыя стады Вано, дыкхэла и дад бистадякиро сы тырдо, грэс тэло зэн рикирла.;0.3191080689430237;neverov
А лошадь напугалась, так и шевелит ушами, метнуться хочет.;А грай здарандыя, адякэ и розлыджяла канэнца, тэвырискирэлпэ камэл.;0.7180095911026001;neverov
Стал Миша флаги считать.;Лыя Вано флаги тэзгинэл.;0.5819346904754639;neverov
Насчитал двенадцать штук, тут музыка в трубы заиграла.;Згиндя дэшу дуй флаги. Адай музыка дро трубы закхэлдя.;0.6189951300621033;neverov
Лошадь как дернет!;Рискирдяпэ дрэ строна грай.;0.23900961875915527;neverov
Не устоял Миша на ногах, полетел головой в передок.;На утырдыя Вано про ґэра, пыя шэрэса дро урдо про кхас.;0.4770030677318573;neverov
Приехал домой, товарищам хвалится: — революцию в городе видел.;Явья кхэрэ, чяворэнгэ лыя тэшарэлпэ: —	Мэ революцыя дро форо дыкхьём.;0.5814204216003418;neverov
Товарищи спросили: — Какая она?;Чяворэ пучнэ: —	Сави сы ёй?;0.8789561986923218;neverov
Миша сказал: — Двенадцать флагов несли с разными кистями и музыка играла в большие трубы.;Вано пхэндя: Дэшу дуй флаги лыджинэ разнонэ кистенца и эмузыка кхэлдя дро барэ трубы.;0.6328991651535034;neverov
Борькин рассказ.;Наноскиро ракирибэн.;0.552425742149353;neverov
Захотелось Борьке рассказ написать.;Закамьяпэ Наноскэ ракирибэн тэчинэл.;0.32331305742263794;neverov
Стал заглавие приду- мывать, а оно у него не выходит.;Лыя заглавиё дрэ годы тэвыкэдэл, а ёв лэстэ на выджяла.;0.8097437620162964;neverov
Увидал галку на крыше, думает. — Сейчас напишу.;Удыкхья чириклэс про кхэр, думинэла: —	Акана чинава.;0.5060741901397705;neverov
Макнул перо в чернильницу, а галка улетела.;Лыя пор дро васта, а чирикло кхэрэстыр сурняндыя.;0.6921619176864624;neverov
Рассердился Борька, губами шепчет: — Все-таки напишу.;Розхолясыя Нано, уштэнца шэптынэ: —	Уса-таки чинава.;0.5849067568778992;neverov
И стал писать рассказ без заглавия.;И лыя тэчинэл ракирибэн а заглавиё начиндя.;0.7310537695884705;neverov
— Наша комната маленькая, в ней три окошка.;«Амари штуба тыкнинько, дрэ латэ трин фэнштры.;0.7513326406478882;neverov
В углу стоит печка, на веревочке висит рубашка.;Дро вэнгло тэрды бов, про шылоро убладо гад.;0.6364545226097107;neverov
Я сижу один, на улице снег идет.;Мэ бэшто екхджино, прэ гаса ив джяла.;0.6604592204093933;neverov
Мне когда хочется, когда не хочется учиться.;Мангэ коли камэлапэ, коли на камэлапэ тэ сыклёвавпэ.;0.8075261116027832;neverov
Я люблю рисовать и смотреть картинки в книжках.;Мэ камам тэ кэрав и тэдыкхав патря дро книжки.;0.7595768570899963;neverov
Делаю я еще ветряную мельницу, она у меня не выходит.;Кэрава мэ иньке балвалытко мельница, — ёй мандэ на кэрлапэ.;0.6419406533241272;neverov
Когда выра- сту большой, буду учиться паровозы делать.;Коли выбарьёвава баро, тэ сыклёвав лава тэ кэрав паравозы».;0.598010778427124;neverov
Прочитал Борька свой рассказ отцу, отец сказал. — Хороший рассказ, пиши еще.;Прогиндя Нано пэскиро ракирибэн дадэскэ, дад пхэндя: —	Лачё ракирибэн чин иньке.;0.4277888536453247;neverov
Санька храбрый. Сережка с Санькой в лес пошли.;Муршытко Сенька Серёжка Сенькаса дро вэш гынэ.;0.652055561542511;neverov
Дорогой Сережка говорит: — Санька, ты волков боишься?;Дромэса Серёжка ракирла: Сенька ту рувэн дарэса?;0.7556983232498169;neverov
А Санька хвалится: — Чего их бояться?;А Сенька шарлапэ: —	Со лэн тэ дарэс?;0.8593538999557495;neverov
Ударю палкой по голове — убью.;Малавава каштэса пиро шэро — умарава.;0.7775840163230896;neverov
Зашли в лес, в лесу темно от деревьев и солнышка не видать.;Загынэ дро вэш, а дро вэш сыр ратяса, каштэндыр кхам на удыкхэса.;0.5541896224021912;neverov
Под ногами прутики потрескивают, листья шумят. Слетела с дерева птица большая, крыльями захлопала.;Тэло ґэра тыкнинька кашторэ пхагирнапэ, листья шуминэна, сурняндыя брэзатыр саво-то чирикло баро.;0.6687932014465332;neverov
Санька оглядывается, за Сережку руками хватается.;Сенька обдыкхэлапэ, палэ Сёрежкастэ вастэнца ухтыллапэ.;0.8675819635391235;neverov
Сережка говорит ему: — Боишься?;Сережка ракирла лэскэ: —	Дарэса?;0.9304491281509399;neverov
Саньке стыдно сознаться, храбрится: — Чего мне бояться?;А Сенькаскэ ладжяво тэ приґалёспэ, муршыпэ прэ пэстэ мэкэла: —	Со мангэ тэ дарав?;0.5348225831985474;neverov
Чай, я не маленький.;Мэ на сом тыкнинько.;0.6148234605789185;neverov
Тут Сережка как закричит нарочно: Волк!;Адай Сережка пофроми, сыр задэла годлы —	Рув!;0.7283055186271667;neverov
А Санька так и присел с перепугу: - Ма-а-ма!;Сенька адякэ и прибэстя страхатыр: Д-а-ё!;0.7032123804092407;neverov
После Сережка смеется над ним: — Эх, ты, Санька храбрый!;И, Сёрежка лыя тэсал прэ лэстэ: Эх ту, Сэня, мурш.;0.6783357858657837;neverov
Трудная задачка.;Пхари задачка.;0.9091053009033203;neverov
Задали Володе задачку в школе.;Задынэ Саняскэ задачка дро сыклякирдо кхэр.;0.34312903881073;neverov
— В стаде было 85 голов крупного скота, при чем рогатого скота на 17 голов больше, чем лошадей.;Прэ фэлда псирдэ гурувня и грая кхэтанэ, сарэн лэн сыс бидэшэскиро шэл, гурувнен сыс бутыдыр грэндыр про биш-тэ дуй.;0.13046450912952423;neverov
Сколько лошадей в стаде?;Кицы грая прэ фэлда?;0.631622314453125;neverov
Пришел Володя домой невеселый.;Явья Саня кхэрэ холямо.;0.3373357951641083;neverov
Прочитал задачку, не понял ничего.;Прогиндя задачка, наполыя нисо.;0.7296178340911865;neverov
Поглядел на него старший брат, спрашивает: Что, Володя, не выходит нынче у тебя?;Подыкхья прэ лэстэ баро пшал, пучела: —	Со, Саня, на выджяла дадывэс тутэ?;0.48732566833496094;neverov
А Володя и брови наморщил: — Она неправильная: про лошадей с коровами не сказано.;А Саня и цымблы змэкья: —	Ёй на чячюнэс чиндлы: вашо грая гурувненца на сы пхэндло.;0.6580781936645508;neverov
Прочитал задачку брат, смеется: — Врешь ты, Володя, задачка правильная.;Прогиндя задачка опшал, салапэ: —	Хохавэса ту, Саня, задачка сы адякэ чиндлы.;0.643275797367096;neverov
Не ходишь в школу каждый день, поэтому и не знаешь.;На псирэса дрэ школа кажно дывэс, паладава и на джинэс.;0.7162458300590515;neverov
Взял карандаш старший брат, начал сам задачку решать, Задачка решилась.;Лыя карандашо баро пшал, лыя кокоро задачки тэкэрэл. Задачка кэрдяпэ.;0.7011814713478088;neverov
Лошадей было 34.;Грая сыс 34.;0.882259726524353;neverov
Поглядели в ответ и в ответе так сказано: лошадей 34.;Подыкхнэ дро ответо, и одой адякэ-жэ пхэндло: Грэн 34.;0.760556697845459;neverov
Брат над Володей смеется: — Что, неправильная?;Пшал прэ Санястэ салапэ: — Нэ со на адякэ?;0.552262008190155;neverov
Стыдно стало Володе, он и говорит: — Я теперь любую задачку сам решу.;Ладжяво сыс Саняскэ ёв и ракирла: — Мэ акана сави камэс задачка кокоро кэрава.;0.5476970672607422;neverov
Волк на стене.;Рыч прэ ванта.;0.7145534157752991;neverov
Мать рассказала Ниночке сказку про волка, а Ниночка маленькая была. Увидала тень свою на стене — напугалась. Думала, волк это.;Дай роспхэндя Ганочкакэ парамыся вашо рыческэ, а Ганочка тыкнинько сыс, удыкхья тень пэскири прэ ванта — здарандыя, думиндя, со рыч адава сы.;0.26901134848594666;neverov
Повернула головой, и тень на стене повернулась.;Рискирдя шэро дрэ строна и тень прэ ванта рискирдяпэ.;0.19929033517837524;neverov
Испугалась еще больше Ниночка, громко заплакала. Мать спросила ее: — Ты что плачешь?;Дарандыя иньке бутэдыр Ганочка, зарундя. Дай пучья ла: —	Со ту ровэса?;0.1454428732395172;neverov
Ниночка сказала: — Волк сидит на стене.;Ганочка пхэндя: —	Рыч бэшто прэ ванта.;0.24755287170410156;neverov
Сейчас на меня прыгнуть хотел.;Галёв камья прэ мандэ тэ чюрдэлпэ.;0.6557864546775818;neverov
Погладила мать Ниночку по голове, успокоила.;Облыя дай ла, чямудэла.;0.3406728208065033;neverov
— Глупая моя дочурка, это тень твоя.;—	Дылынинько ту мири чаёри, адава тень тыри.;0.8260165452957153;neverov
Встань около стены, опять увидишь ее.;Тэрдёв пашэ ванта и инькэ удыкхэса ла.;0.49171215295791626;neverov
Встала Ниночка, и тень появилась на стене.;Устя Гана и тень лакири выгыя прэ ванта.;0.5463431477546692;neverov
Прыгнула Ниночка и тень тоже прыгнула.;Прибандия Гана и тень лакири прибандия!;0.43683111667633057;neverov
Весело стало Ниночке.;;0;neverov
Засмеялась она и с тех пор бояться перестала.;Засандяпэ ёй и адала поратыр тэ трашал пирьячья.;0.721418559551239;neverov
Артисты.;Артисты.;1.0;neverov
В школе зимою учительница театр устраивала для учеников.;Дрэ школа зимаса сыклякирибнаскири кэрлас тэатро вашо школьнонэ чяворэнгэ.;0.8407314419746399;neverov
Ученики, которые побольше, артистами были.;Школьна чяворэ, савэ сыс побарыдыр, выджянас сыр артисты.;0.7159299850463867;neverov
