to;from;sim;source
"﻿НА ПЛОТАХ I ...Грузные тучи медленно ползут над сонной рекой; кажется, что они спускаются все ниже и ниже; кажется, что вдали их серые лохмотья коснулись поверхности быстрых и мутных весенних волн, и там, где они коснулись воды, — встала до небес непроницаемая стена облаков, заградившая собою течение реки и путь плотам.";﻿ПРО ПЛОТЫ I ...Пхарэ тучи тихэс джяна ангил соибнаскири рэка: сдэлапэ, со ёнэ змэкэнапэ уса тэлыдыр и тэлыдыр.;0.5253225564956665;ploty
И волны, безуспешно подмывая эту стену, бьются о нее с тихим, жалобным рокотом, бьются и, отброшенные ею, разбегаются вправо, влево, где лежит сырая тьма весенней, свежей ночи.;О волны барэ зорьяса подмарна адая ванта, марнапэ пир латэ, тихонэ тангипнытконэ роибнаса и отчюрдымэ ласа палэ роспрастанапэ дро право, лево строны, кай пашло киндо ратякиро, весеннё, свежо калыпэ.;0.7407851815223694;ploty
Но плоты плывут вперед, а даль отодвигается пред ними в пространство, полное тяжелых облачных масс.;Нэ о плоты джяна ангил и о дурипэ отджяла англыдыр дро дурипэ, пхэрдо облачнонэ массакирэ пхарипнаса.;0.7265531420707703;ploty
Берегов не видать — их скрыла ночь и оттолкнули куда-то широкие волны разлива.;О бэрги нанэ дыкхнэ — лэн спхагирдя рат и отчюрдынэ карик то буґлэ волнэнгирэ розливы.;0.7085384130477905;ploty
Река — точно море.;Рэка — сыр морё.;0.8772175908088684;ploty
Небо над нею окутано облаками, тяжело, сыро и скучно.;Болыбэ ангил латэ саро заучякирдо тученца, пхаро, киндо и мэнькитко.;0.6418328881263733;ploty
Плоты скользят по воде быстро и бесшумно, а навстречу им из тьмы выдвигается пароход, выбрасывая из трубы веселую толпу искр и глухо ударяя по воде плицами колес...;Плоты скользынэна пиро паны сыго и бишумоскиро, а прэ лэндэ калыпнастыр джяла пароходо, вычюрдыи трубатыр искры и кашукэс мари пиро паны ротэнца...;0.8089076280593872;ploty
Два красных фонаря на отводах все увеличиваются, становятся ярче, а фонарь на мачте тихо покачивается из стороны в сторону и таинственно подмигивает тьме.;Дуй лолэ фонари прэ отводы уса тэрдёна барыдыр и яркыдыр, а о фонарё прэ мачта тихэс куниныпэ екхэ стронатыр дрэ вавир и фрэнтэс издрала ягаса дро калыпэ.;0.8199962377548218;ploty
Пространство наполнено шумом разбиваемой воды и тяжелыми вздохами машины.;О пространство пхэрдо панескирэ шумоса и пхарэ-машынакирэ ґонденца.;0.6208173036575317;ploty
— По-оглядывай! — раздается на плотах сильный грудной оклик.;— Ды-ыкх! — роздэлапэ про плоты зорало колынытко годлыпэ.;0.7953599095344543;ploty
"У рулевых весел, на хвосте плота, стоят двое: Митя — сын сплавщика, русый, хилый, задумчивый парень лет двадцати, и Сергей — работник, хмурый, здоровый детина в рыжей бороде; из ее рамки выдаются крепкие, крупные зубы, не закрытые верхней губой, насмешливо вздернутой кверху.";Пало рулёва веслы, палал, тэрдэ дуйджинэ. Митя чяво сплавшшикоскиро, русо насвало ракло биш бэршэнгиро и Серга — бутяри, холямэ зорало ракло дро рыжа чёра: лакирэ рамкатыр сыкадёна зоралэ барэ данда на закэрдэ упратунэ уштэса приґаздымэ кэ упрэ. Ёв сыр бы подсалас прэ конэстэ то.;0.5997146964073181;ploty
— Клади лево! — снова сотрясает тьму громкий крик спереди плотов.;— Тхов дрэ лево! тринскири калыпэ зоралэс дынэ годла англатунэ плотэндыр.;-0.04505151882767677;ploty
— Знаем и сами, чего орешь? — недовольно ворчит Сергей и, вздыхая, наваливается грудью на весло.;— Джинас и кокорэ! со рискирна кирлэ? — холямэс ракирла Серга и, дыи ґондя припасёла колынэса про весло.;0.0970449447631836;ploty
— О-ух!;— О — ух!;0.13944241404533386;ploty
Вороти крепчае, Митюк!;рискир зоралыдыр, Митя!;0.5206403732299805;ploty
Митрий, упираясь ногами в сырые бревна, тянет к себе тонкими руками тяжелую жердь — руль — и хрипло кашляет.;О Митя змэкьяпэ сарэ зорьятыр ґэрэнца дро киндэ брэвны, тырдэла кэ пэ санэ вастэнца пхаро кашт — рулё — и хриплэс кашлинэ.;0.5881905555725098;ploty
— Гни... бери левей!..;— Рискир... лэ лево!..;0.8754501938819885;ploty
Черти, дьяволы! — кричат спереди тревожно и озлобленно.;Бэнга, сапа! — дэва годлы дрэ ангил даранэс и холямэс.;0.8520666360855103;ploty
— Ори!;— Порав муй!;0.7611549496650696;ploty
Твой-то чахлый сын соломину о колено не переломит, а ты его на руль ставишь, да и орешь потом на всю реку.;Тыро муло чяво пхус прэ чянг на пирипхагирла, а ту лэс про рулё тховэса, тэ отэнчя годла дэса прэ сари рэка.;0.7022337913513184;ploty
Жаль было еще работника нанять кощею-снохачу.;Тангискирэса инкэ бутярис тэ лэс цыпарискэ — снохачёскэ.;0.4302891194820404;ploty
Ну, и рви теперь глотку-то!..;Нэ и рискир акана кирло!;0.7816908359527588;ploty
Сергей ворчит уже громко, очевидно, не опасаясь, что его услышат, и даже как бы желая этого...;Серга бормотынэ акана шундлэс, ґалёв надари, со лэс ушунэна и сыр бы ками адава...;0.6888035535812378;ploty
Пароход мчится мимо плотов, с ропотом выметывая из-под колес пенистые волны.;Пароходо прастала мамуй плотэ, — ротэндыр вымарнапэ пениста волны.;0.415848970413208;ploty
Бревна раскачиваются на воде, и скрученные из сучьев связи скрипят жалобным и сырым звуком.;Брэвнэ роскуниндлэпэ про паны, и спхандыпэна скрэнцындлэ сукэндыр скрипинэна тангипкытконэ киндэ звукоса.;0.6344020962715149;ploty
Освещенные окна парохода смотрят на реку и плоты, как ряд огненных глаз, отражаются на взволнованной воде светлыми трепещущими пятнами и исчезают.;Осветискирдэ пароходоскирэ фэнштры дыкхэна прэ рэка и плотэ сыр барэ якха дыкхнэ сы дрэ паны святлонэ пятнэнца, савэ то сыкадёна, то хасёна.;0.733369767665863;ploty
Волны сильно плещут на плоты, бревна прыгают, и Митрий, покачиваясь на ногах, крепко прижимается к рулю, боясь упасть.;О волны зоралэс марнапэ пиро плотэ, брэвнэ ухтэна и о Митя зоралэс припасёла ко рулё, дари тэ пэрэл, лэс подчюрдэла стронатыр дрэ строна.;0.7781494855880737;ploty
