to;from;sim;source
— Вот вы говорите, что человек не может сам по себе понять, что хорошо, что дурно, что все дело в среде, что среда заедает.;— Акэ тумэ ракирна, со мануш на можынэла кокоро пир пэстэ тэ полэл, со шукар, со нашукар, со capo рэндо дро обшшество, со обшшество захала.;0.8481736183166504;posle_bala
А я думаю, что все дело в случае.;А мэ думинава, со capo рэндо дро случяё.;0.8141074776649475;posle_bala
Я вот про себя скажу.;Мэ акэ пал пэстэ пхэнава.;0.7321632504463196;posle_bala
Так заговорил всеми уважаемый Иван Васильевич после разговора, шедшего между нами, о том, что для личного совершенствования необходимо прежде изменить условия, среди которых живут люди.;Адякэ заракирдя сарэнца патывало Ивано Васильевичё после ракирибэ, саво гыя машкир амэндэ ваш одова, со ваш пэскиро совершенствованиё трэби англыдыр тэ спарувэс условии, машкир савэ дживэна мануша.;0.782443642616272;posle_bala
Никто, собственно, не говорил, что нельзя самому понять, что хорошо, что дурно, но у Ивана Васильевича была такая манера отвечать на свои собственные, возникающие вследствие разговора мысли и по случаю этих мыслей рассказывать эпизоды из своей жизни.;Никон, чячё, на ракирдя, со нашты кокорэскэ тэ полэс, со шукар, со нашукар, нэ э Ивано Васильевичёстэ сыс адасави манера тэ дэл ответэ прэ пэскирэ мысли, савэ можынэна тэ явэн дро розракирибэ и пир адалэ мысленгиро случяё тэ роспхэнэл эпизоды пэскирэ джиибнастыр. Чястэс ёв забистрэлас поводо, пир саво ёв роспхэнэлас.;0.8071208596229553;posle_bala
Часто он совершенно забывал повод, по которому он рассказывал, увлекаясь рассказом, тем более что рассказывал он очень искренно и правдиво.;Пашыл адава укамэлапэ роспхэныбнаса, одолэса бутыр, со роспхэнэлас ёв сарэ дёстыр и чячипэ.;0.548392653465271;posle_bala
Так он сделал и теперь.;Адякэ ёв кэрдя и акана.;0.7576153874397278;posle_bala
— Я про себя скажу.;—	Мэ пал пэстэ пхэнава.;0.865892767906189;posle_bala
Вся моя жизнь сложилась так, а не иначе, не от среды, а совсем от другого.;Capo миро джиибэн стходяпэ адякэ, а на ваврэс, на э обшшествостыр, а э ваврэстыр.;0.7806413769721985;posle_bala
— От чего же? — спросили мы.;—	Состыр жэ? — пучьям амэ.;0.9162418246269226;posle_bala
— Да это длинная история.;—	Нэ адава длуго история.;0.9305822849273682;posle_bala
