to;from;sim;source
1 Этот сон видел бедный Макар, который загнал своих телят в далекие, угрюмые страны, - тот самый Макар, на которого, как известно, валятся все шишки.;1 Адава соибэ дыкхья чёроро Макаро, савэса затрадынэ сыс лэскирэ гуроворэ дро дуратунэ, налаче строны, — адалэ самонэ Макароса, прэ савэстэ, сыр сарэ джинэн, пэрна сарэ биды.;0,778022289276123;sleep
Его родина - глухая слободка Чалган - затерялась в далекой якутской тайге.;Макароскиро родно штэто, кай ёв бияндыя, кашуко гав Чялгано — занашадыя дрэ дуратуны Якутско тайга.;0,6437975168228150;sleep
Отцы и деды Макара отвоевали у тайги кусок промерзшей землицы, и хотя угрюмая чаща все еще стояла кругом враждебною стеной, они не унывали.;Макароскирэ дада и папы отмардэ дрэ тайга котыр мразалы пхув, и хоть холямо вэш уса инкэ тэрдо сыс пашыл вантаса, ёнэ на змэкэнас накха.;0,8670566082000730;sleep
По расчищенному месту побежали изгороди, стали скирды и стога, разрастались маленькие дымные юртенки: наконец, точно победное знамя, на холмике из середины поселка выстрелила к небу колокольня.;Пиро ожужакирдо штэто тходэ сыс барья, ачнэ скирдэ и стогэ, розбаринэпэ тыкнэ тхувитка юртыцы, и сыр победно знамё, прэ бэргица машкир гав тходы сыс кхангири.;0,582197904586792;sleep
Стал Чалган большою слободой.;Ачья Чялгано барэ гавэса.;0,6771575808525090;sleep
Но пока отцы и деды Макара воевали с тайгой, жгли ее огнем, рубили железом, сами они незаметно дичали.;Нэ пока Макароскирэ дада и папы мардэпэ тайгаса, хачкирдэ ла ягаса, чингирдэ састэрэса, кокорэ ёнэ надыкхибныткэс кэрдэпэ дикаренца.;0,8044987916946410;sleep
Женясь на якутках, они перенимали якутский язык и якутские нравы.;Коли лынэ пал пэстэ дро ромня якуткэн, ёнэ пирилэнас якутско чиб и якутско джиибэ.;0,7009890079498290;sleep
Характеристические черты великого русского племени стирались и исчезали.;Сарэ присыкляибэна барэ руссконэ племёскирэ стриинэнаспэ и хасёнас.;0,6463914513587950;sleep
Как бы то ни было, все же мой Макар твердо помнил, что он коренной чалганский крестьянин.;Сыр бы одой тэ на явэл, уса жэ миро Макаро дрэван рипирдя, со ёв сы пхурано чялганско гаджо.;0,7853404879570010;sleep
Он здесь родился, здесь жил, здесь же предполагал умереть.;Ёв адай бияндыя, адай джиндя, адай жэ думиндя и тэ мэрэл.;0,7953634858131410;sleep
"Он очень гордился своим званием и иногда ругал других ""погаными якутами"", хотя, правду сказать, сам он не отличался от якутов ни привычками, ни образом жизни.";Ёв дрэван пхутия пэскирэ кхарибнаса и вавир моло костя ваврэн «нажужэ якутэнца», нэ чячипэн тэ пхэнэс, кокоро на отличиндяпэ якутэндыр ни присыкляибнанца, ни джиибнаса.;0,6387521624565130;sleep
По-русски он говорил мало и довольно плохо, одевался в звериные шкуры, носил на ногах торбаса, питался в обычное время одною лепешкой с настоем кирпичного чая, а в праздники и в других экстренных случаях съедал топленого масла именно столько, сколько стояло перед ним на столе.;Прэ русско чиб ёв ракирлас набут и дрэван нашукар, урьеласпэ дрэ зверэнгирэ цыпы, про ґэра урьелас ковлэ тыраха оленьёнэ цыпатыр, чярадяпэ дрэ адасавэ дывэса екхэ марикляса кирпичнонэ драбэса, а дро свэнки и дрэ ваврэ барэ случяи схалас пирикарадо ксил адакицы, кицы тходо сыс ангил лэстэ про скаминд.;0,7056660652160650;sleep
Он ездил очень искусно верхом на быках, а в случае болезни призывал шамана, который, беснуясь, со скрежетом кидался на него, стараясь испугать и выгнать из Макара засевшую хворь.;Ёв ездинэс дрэван джиндлэс уклистэ прэ гурувэндэ, а коли занасвалёлас, то прикхарэлас шаманос, саво, выгыи пэстыр, дандэнгирэ скрипимаса чюрдэласпэ прэ лэстэ, ками тэ страхавэл и тэ вытрадэл Макаростыр забэшно насвалыпэ.;0,7745082378387450;sleep
Работал он страшно, жил бедно, терпел голод и холод.;Кэрдя ёв буты дрэван, джиндя чёрорэс, пирилыджялас бокх и шыл.;0,6724646091461180;sleep
Были ли у него какие-нибудь мысли, кроме непрестанных забот о лепешке и чае?;Сыс ли лэстэ со наяви дрэ годы, кроме забота ваш мариклы и драп?;0,8426154255867000;sleep
Да, были.;Хай-жэ сыс.;0,7474387884140020;sleep
Когда он бывал пьян, он плакал.;Коли сыс мато, ёв ровэлас.;0,8712262511253360;sleep
"""Какая наша жизнь, - говорил он, - господи боже!""";«Саво амаро джиибэ, — ракирлас ёв, — дэвлалэ, дэвлалэ?»;0,668052077293396;sleep
"Кроме того, он говорил иногда, что желал бы все бросить и уйти на ""гору"".";Пашыл адава, ёв ракирлас вавир моло, со камэлас саро тэ чюрдэл и тэ уджял прэ «бэрга».;0,7416883111000060;sleep
Там он не будет ни пахать, ни сеять, не будет рубить и возить дрова, не будет даже молоть зерно на ручном жернове.;Одой ёв на лэла ни тэ пахин, ни тэ сеин, на лэла тэ чингир и тэ возин кашта, на лэла тэ триин зярно про вастытко бар.;0,8069787621498110;sleep
Он будет только спасаться.;Ёв только лэла тэ зракхэлпэ.;0,8007323145866390;sleep
"Какая это юра, где она, он точно не знал; знал только, что гора эта есть, во-первых, а во-вторых, что она где-то далеко, - так далеко, что оттуда его нельзя будет добыть самому тойону-исправнику...";"Сави адая бэрга, кай ёй, ёв шукар на джиндя; джиндя только, со бэрга адая сы, дро пэрво, а дро второ, со ёй кай-то дур, адякэ дур, со одотхыр лэс нашты явэла тэ закэдэл кокорэскэ тайоно-исправникоскэ.";0,737034022808075;sleep
Податей платить, понятно, он также не будет...;Подати ёв адякэжэ тэ плэскир на лэла.;0,35218772292137100;sleep
"Трезвый он оставлял эти мысли, быть может сознавая невозможность найти такую чудную гору; но пьяный становился отважнее.";"Коли на пьелас бравинта, ёв на ракирлас ваш адава, могискирла джины, со нашты тэ латхэс адасави чюдно бэрга; нэ мато ачелас муршканыдыр.";0,6000291109085080;sleep
Он допускал, что может не найти настоящую гору и попасть на другую.;Ёв домэкэлас, со могискирла и тэ на латхэл чячюны бэрга и тэ попэрэл прэ вавир.;0,7215843200683590;sleep
