to;from;sim;source
СТРАСТИ-МОРДАСТИ Душной летней ночью, в глухом переулке окраины города, я увидал странную картину: женщина, забравшись в середину обширной лужи, топала ногами, разбрызгивая грязь, как это делают ребятишки, — топала и гнусаво пела скверненькую песню, в которой имя Фомка рифмовало со словом емкая.;СТРАСТИ-МОРДАСТИ Лынаскирэ ратяса, дрэ кашуки гаса про концо форо мэ удыкхьём адасави патрин: джювлы закэдыяпэ дро паны, сави скэдыяпэ прэ дром брышындэстыр и мардя ґэрэнца пир лэстэ, брызгиндя блатаса, сыр адава кэрна о чяворэ, — мардя ґэрэнца и дро накх багандя налачи гилы.;0.5405402779579163;strasti
"Днем над городом могуче прошла гроза, обильный дождь размочил грязную, глинистую землю переулка; лужа была глубокая, ноги женщины уходили в нее почти по колено.";Дывэсэ дрэ форо зоралэс прогыя гроза, баро брышынд розкиндякирдя гасакири мэлалы глинисто пхув, лужа сыс хор, джювлякирэ ґэра угынэ дрэ латэ ко сама чянга.;0.5313950181007385;strasti
Судя по голосу, певица была пьяная.;Пиро глос шундло сыс, со джювлы сыс маты.;0.5872787833213806;strasti
Если б она, устав плясать, упала, то легко могла бы захлебнуться жидкой грязью.;Тэ пэр ёй кхэлы, то локхэс могискирлас тэ тасадёл блатаса.;0.5092146396636963;strasti
Я подтянул повыше голенища сапог, влез в лужу, взял плясунью за руки и потащил на сухое место.;Мэ подґаздыём учидыр тырахэнгирэ голенишши, вгыём дрэ лужа, лыём кхэлыбнаскирья пало васта и тырдыём ла прэ шуко штэто.;0.7970418930053711;strasti
В первую минуту она, видимо, испугалась, — пошла за мною молча и покорно, но потом сильным движением всего тела вырвала правую руку, ударила меня в грудь и заорала: — Караул!;Дрэ пэрво мэнта ёй, ґалёв дарипнастыр — гыя пал мандэ, ничи на ракири, нэ дурыдыр зоралэс порисия сарэ шталтоса, вырискирдя право васт, мэкья ман дро колын и задыя годлы: — Караул!;0.7134868502616882;strasti
И снова решительно полезла в лужу, увлекая меня за собой.;И мэкьяпэ палэ дрэ лужа, тырдыи ман пал пэстэ.;0.7436145544052124;strasti
— Дьявол, — бормотала она.;— Бэнг, — ракирдя ёй — наджява!;0.48403218388557434;strasti
— Не пойду!;— Наджява!;0.00021938234567642212;strasti
Проживу без тебя... поживи без меня... краул!;Продживава битыро... проджив бимоиро… Караул!;0.306937038898468;strasti
Из тьмы вылез ночной сторож, остановился в пяти шагах от нас и спросил сердито: — Кто скандалит?;Ратякирэ калыпнастыр выгыя ратитко ракхибнари, тэрдыя дро пандж шаги амэндыр и пхэндя холямэс: — Кон кошэлапэ?;0.7728735208511353;strasti
"Я сказал ему, что — боюсь, не утонула бы женщина в грязи, и вот — хочу вытащить ее; сторож присмотрелся к пьяной, громко отхаркнул и приказал: — Машка — вылазь!";"Мэ пхэндём лэскэ, со дарава, соб тэ на тасадёл бы джювлы дрэ блата, и окэ камам тэ вытырдав ла; ракхибнари придыкхьяпэ кэ маты, шундлэс чюнгардыя и пропхэндя: — Машкэ — выджя!";0.8516514301300049;strasti
— Не хочу.;— Накамам.;0.8076055645942688;strasti
— А я те говорю — вылазь!;— А мэ тукэ ракирава— выджя.;0.7262007594108582;strasti
— А я не вылезу.;— А мэ на выджява.;0.9778611660003662;strasti
— Вздую, подлая, — не сердясь, пообещал сторож и добродушно, словоохотливо обратился ко мне: — Это — здешняя, паклюжница, Фролиха, Машка.;— Розмарава, бибахталы, бихолякиро пхэндя ракхибнари и рисия кэ мэ. — Адава — адатхыр паклюжница, Фролиха Машка.;0.6906766891479492;strasti
Папироски нету?;Тэ затырдэс нанэ?;0.5859473347663879;strasti
Закурили.;Затырдыям.;0.6857531666755676;strasti
Женщина храбро шагала по луже, вскрикивая: — Начальники!;Джювлы нартыткэс псирдя пиро лужа годласа: — Барыдырэ!;0.6696107983589172;strasti
Я сама себе начальница...;Мэ кокори пэскэ барыдыро...;0.740751326084137;strasti
Захочу — купаться буду...;Закамам — тэ купинавпэ лава...;0.8055620193481445;strasti
— Я те покупаюсь, — предупредил ее сторож, бородатый, крепкий старик.;— Мэ тукэ покупинавапэ — пхэндя лакэ ракхибнари, саро оббаримэ чёрэнца, зорало пхуро.;0.6695070266723633;strasti
— Эдак-то вот она каждую ночь, почитай, скандалит.;— Акадякэ, окэ ёй кажно рат кошэлапэ.;0.46820223331451416;strasti
А дома у ней — сын безногой...;А кхэрэ латэ — чяворо биґэрэнгиро...;0.8024957180023193;strasti
— Далеко живет?..;— Дур дживэла?...;0.9077808260917664;strasti
