to;from;sim;source
ТОВАРИЩИ I Горячее солнце июля ослепительно блестело над Смолкиной, обливая её старые избы щедрым потоком ярких лучей.;﻿ТОВАРИШШИ I Хачкирдо июльско кхам дрэван блестиндя прэ Смолкино и буґлэс обчидя лэскирэ пхуранэ кхэра ярконэ лученца.;0.8302852511405945;tovar
Особенно много солнца было на крыше старостиной избы, недавно перекрытой заново гладко выстроганным тёсом, жёлтым и пахучим.;Гынэ ёнэ пиро набаро дроморо, саво, вииндяпэ пиро гив и лэнгири тень ползындя пиро колосьенгиро сувнакай.;0.42127349972724915;tovar
Воскресенье, и почти все люди вышли на улицу, густо поросшую травой, усеянную кочками засохшей грязи.;Нэ окэ про трэмы выгыя насвалэ якхэнца пхуро, лисицакирэ муеса, прэ саво сыс набарэ клинышкоса чёра, лэскиро пэроро куниндяпэ тэла ситцэво длэнго гад.;0.4255181849002838;tovar
"Перед Старостиной избой собралась большая группа мужиков и баб: иные сидели на завалине избы, иные прямо на земле, другие стояли; среди них гонялись друг за другом ребятишки, то и дело получая от взрослых сердитые окрики и щелчки.";"Пашыл шэралэскиро кхэр скэдынэпэ бут гадже и гаджя: екх лэндыр бэшлэ сыс прэ заваленка, ваврэ — прэ пхув, а савэ и тэрдэ; машкирал прастандынэ екх палэ екхэстэ раклорэ, барэ холямэс обракирнас лэн и пэкавэнас.";0.6395943760871887;tovar
Центром толпы служил высокий человек с большими, опущенными вниз усами.;Машкирал гажендэ тэрдо сыс учё мануш, барэ змэклэ тэлэ вэнсэнца.;0.6364470720291138;tovar
По его коричневому лицу, покрытому густой сивой щетиной и сетью глубоких морщин, по седым клочьям волос, выбившимся из-под грязной соломенной шляпы, — этому человеку можно было дать лет пятьдесят.;Пиро лэскиро захачимэ кхамэстыр муй, учякирдо гэнстонэ сывонэ шшетинаса и бутэ бриндэнца пиро муй, пиро сыва бала клокэнца, савэ вымардэпэ мэлалэ пхусытконэ нартостыр — адалэ манушэскэ можно сыс тэ дэс пандждэша бэрш.;0.6485454440116882;tovar
Он смотрел в землю, и ноздри его большого хрящеватого носа вздрагивали, а когда он поднимал голову, бросая взгляд на окна старостиной избы, видны были его глаза, большие, печальные, — они глубоко ввалились в орбиты, а густые брови кидали от себя тень на тёмные зрачки.;Ёв дыкхья дрэ пхув, а коли ґаздыя о шэро, чюрдыи якха прэ шэралэскирэ фэнштры, дыкхлэ сыс лэскирэ барэ якха мэнькаса.;0.4276588559150696;tovar
Одет он был в коричневый, рваный подрясник монастырского послушника, едва закрывавший ему колени и подпоясанный верёвкой.;Ёв сыс уридо дрэ рашаитко рискирды ряса, сави набут учякирдя лэскирэ чянга, подпхандлы сыс шылэса.;0.431871622800827;tovar
За спиной у него котомка, в правой руке длинная палка с железным наконечником, левую он держал за пазухой.;Пало думо лэстэ гоно, дро васта длэнго кхия саструнэ концоса, лево васт ёв рикирдя палэ брэк.;0.7180744409561157;tovar
Окружавшие осматривали его подозрительно, насмешливо, с презрением и, наконец, с явной радостью, что им удалось поймать волка раньше, чем он успел нанести вред их стаду.;Гадже дыкхлэ прэ лэстэ, сыр бы камлэ тэ пропатякирэн. Лэндэ баринэ илэ, со удыяпэ тэ ухтылэс адасавэ рувэ сыгыдыр сыр лэскэ удыяпэ тэ янэл хась стадоскэ.;0.5227764844894409;tovar
Он проходил через деревню и, подойдя к окну старосты, попросил напиться.;Ёв гыя пирдал гав и подгыи кэ шэралэскири фэнштра, помангья тэ пьел.;0.7658621072769165;tovar
Староста дал ему квасу и заговорил с ним.;Шэрало дыя лэскэ и заракирдя.;0.5703763961791992;tovar
Но прохожий отвечал, против обыкновении странников, очень неохотно.;Нэ ёв ракирдя на сыр ваврэ шэралэса, наками.;0.31926509737968445;tovar
Староста спросил у него документ, документа не оказалось.;Шэрало пучья лэстыр лыл, лыл на сыс.;0.6210657358169556;tovar
И прохожего задержали, решив отправить в волость.;И лэс зарикирдэ, ками тэ отлыджян дрэ газдуны.;0.6073545813560486;tovar
Староста выбрал в конвоиры ему сотского и теперь, в избе у себя, напутствовал его, оставив арестанта среди толпы, — она грубо потешалась над ним.;Шэрало выкэдыя дрэ конвоирэ сотсконэс и акана пэстэ дро кхэр сыклякирдя лэс, ячякири зарикирдэ манушэс машкир гаджендэ, — гаджэ газдынэ лэс про арманя.;0.6771498322486877;tovar
Но вот на крыльце избы явился подслеповатый старик с лисьим лицом и седой, клинообразной бородкой. Он степенно опускал ноги в сапогах со ступени на ступень, и круглый его животик солидно колыхался под длинной ситцевой рубахой.;Нэ окэ про трэмы выгыя насвалэ якхэнца пхуро, лисицакирэ муеса, прэ саво сыс набарэ клинышкоса чёра, лэскиро пэроро куниндяпэ тэла ситцэво длэнго гад.;0.5378791689872742;tovar
А из-за его плеча высовывалось бородатое четырёхугольное лицо сотского.;А пал лэскирэ псикэ сыкадыя штарвэнглытко, саро дрэ чёра сотсконэскиро муй.;0.7201376557350159;tovar
- Понял, Ефимушка? — спросил староста у сотского.;— Полыян Якимо? — пучья шэрало сотсконэстыр.;0.5392650365829468;tovar
- Чего тут не понять?;— Со адай тэ на полэс?;0.8648231029510498;tovar
Всё понял. Обязан, значит, я проводить этого человека к становому и — больше никаких!;Саро полыём, банго тэ отлыджяв адалэ манушэс ко шынгало и — бутыдыр ничи.;0.5499347448348999;tovar
Проговорив свою речь раздельно и с комической важностью, сотский подмигнул публике.;Проракирдя сотско, мари якхэнца гадженгэ.;0.1162516176700592;tovar
— А бумага?;— А лыл?;0.7786893844604492;tovar
- А бумага, — она за пазухой у меня живёт.;— А лыл мандэ палэ брэк пашло.;0.5263420939445496;tovar
— Ну, то-то! — вразумительно сказал староста и добавил, крепко почесав себе бок: — С богом, значит, айдате!;— Нэ шукир, — пхэндя шэрало, и харуви пэскэ пашваро инкэ доракирдя: — Джян дэвлэса!;0.7848197817802429;tovar
- Пошли!;— Гыям!;0.9237251281738281;tovar
Шагаем, что ли, отче? — улыбнулся сотский арестанту.;Свэнто мануш джяса, со-ли?, — сандяпэ сотско прэ арестантостэ.;0.8042316436767578;tovar
- Вы бы хоть подводу дали, — глухо ответил тот на предложение сотского.;— Тумэ грэс бы дэнас, — кашукэс пхэндя одова прэ сотсконэскирэ лава.;0.7026172280311584;tovar
Староста ухмыльнулся.;Шэрало засанядпэ.;0.6979354023933411;tovar
- Подво-оду?;— Грэс?;0.8863186240196228;tovar
Ишь ты!;Дыкхэс ту!;0.948967695236206;tovar
Вашего брата, проходимца, много тут шныряет по полям, по деревням... лошадей про всех не хватит.;Тумарэ пшлэс бут адай псирла пиро фэлды, тэ пиро гава... грэн прэ сарэндэ на ухтылла.;0.6051710844039917;tovar
Прошагаешь и пехтурой.;Проджяса и пэзал...;0.6141648292541504;tovar
— Ничего, отец, идём! — ободряюще заговорил сотский.— Ты думаешь, далече нам?;— Ничи, дадолэ, явэн! — ракирдя сотско. — Ту думискирэса дур амэнгэ?;0.8565515279769897;tovar
Дай бог, два десятка вёрст!;Дэ дэвла биш вэрсты!;0.5601940155029297;tovar
