to;from;sim;source
Одна девочка ушла из дома в лес.;﻿Екх раклори угыя кхэрэстыр дро вэш.;0.6340411305427551;tri_med
В лесу она заблудилась и стала искать дорогу домой, да не нашла, а пришла в лесу к домику.;Дро вэш ёй заблэндысалыя и лыя тэ родэл дром ко кхэр, тэ на латхья, а явья дро вэш ко кхэроро.;0.8451986312866211;tri_med
"Дверь была отворена; она посмотрела в дверь, видит: в домике никого нет, и вошла.";Удэр сыс откэрды. Ёй подыкхья дрэ удэр, дыкхэла, дро кхэроро никонэс нанэ, и вгыя.;0.7660185098648071;tri_med
В домике этом жили три медведя.;Дрэ адава кхэроро джиндлэ трин рычя.;0.7784795761108398;tri_med
Один медведь был отец, звали его Михайло Иванович.;Екх рыч сыс дад, кхардэ лэс Михаил Иванович.;0.8179540038108826;tri_med
Он был большой и лохматый.;Ёв сыс быро и длэнгобалэнгиро.;0.8420132398605347;tri_med
Другой была медведица.;Вавир сыс дай.;0.7457915544509888;tri_med
Она была поменьше, и звали ее Настасья Петровна.;Ёй сыс тыкныдыр и кхардэ ла Настасья Петровна.;0.8970127701759338;tri_med
Третий был маленький медвежонок, и звали его Мишутка.;Трито сыс тыкнинько рычёро и кхардэ лэсМишутка.;0.7064092755317688;tri_med
Медведей не было дома, они ушли гулять по лесу.;Рычен на сыс кхэрэ, ёнэ угынэ тэ гулинэн пиро вэш.;0.7156510949134827;tri_med
В домике было две комнаты: одна столовая, другая спальня.;Дро кхэроро сыс дуй комнаты: екх ваш хабэн, вавир ваш соибэн.;0.8303338289260864;tri_med
Девочка вошла в столовую и увидела на столе три чашки с похлебкой.;Раклори вгыя дрэ комната, кай ёнэ ханас и удыкхья про скаминд три чярэ зумяса.;0.7868300080299377;tri_med
Первая чашка, очень большая, была Михайлы Иванычева.;Пэрво чяро, дрэван баро, сыс Михаило Ивановичёвонэскиро.;0.7201886177062988;tri_med
"Вторая чашка, поменьше, была Настасьи Петровнина; третья, синенькая чашечка, была Мишуткина.";Вавир чяро, набут тыкныдыр, сыс Настасья Петровнакиро. Трито сининько чяроро сыс Мишуткаскиро.;0.8083204030990601;tri_med
Подле каждой чашки лежала ложка: большая, средняя и маленькая.;Пашыл кажно чяро сыс рой: бари, среднё и тыкнинько.;0.8206365704536438;tri_med
"Девочка взяла самую большую ложку и похлебала из самой большой чашки; потом взяла среднюю ложку и похлебала из средней чашки; потом взяла маленькую ложечку и похлебала из синенькой чашечки; и Мишуткина похлебка ей показалась лучше всех.";"Раклори лыя само бари рой и похая э барэ чярэстыр; отэнчя лыя среднё рой, похая набут э среднёнэ чярэстыр; отэнчя лыя тыкнинько роёри и похая э синёнэ чярэстыр, и Мишуткаскири зуми лакэ покамьяпэ фэдыр сарэндыр.";0.8179883360862732;tri_med
"Девочка захотела сесть и видит у стола три стула: один большой — Михайлы Иваныча; другой поменьше — Настасьи Петровнин, а третий, маленький, с синенькой подушечкой — Мишуткин.";Раклори закамья тэ бэшэл и дыкхэла пашыл скаминд трин стулэ: екх баро — Михаило Ивановичёскиро, вавир тыкныдыр, Настасья Петровнакиро, и трито тыкнинько, а прэ латэ шэрандунори — Мишуткаскири.;0.8455080986022949;tri_med
"Она полезла на большой стул и упала; потом села на средний стул, на нем было неловко; потом села на маленький стульчик и засмеялась — так было хорошо.";"Ёй лыя тэ вскэдэлпэ про баро стуло, прэ лэстэ сыс нашукар тэ бэшэс; отэнчя бэстя про тыкнинько стульчико и засандяпэ — адякэ сыс шукар.";0.7555431127548218;tri_med
Она взяла синенькую чашечку на колени и стала есть.;Ёй лыя сининько чяроро про чянга и лыя тэ хал.;0.8476306796073914;tri_med
Поела всю похлебку и стала качаться на стуле.;Похая сари зуми и лыя тэ качинпэ про стуло.;0.8405942320823669;tri_med
Стульчик проломился, и она упала на пол. Она встала, подняла стульчик и пошла в другую горницу.;Стульчико пропхадия, и ёй пыя про пато. Ёй ґаздыя стуло и гыя дрэ вавир штубица.;0.8781295418739319;tri_med
"Там стояли три кровати: одна большая — Михаилы Иванычева; другая средняя — Настасьи Петровнина; третья маленькая — Мишенькина.";Одой тэрдэ сыс трин кровати: екх бари — Михаило Ивановичёскири, вавир среднё — Настасья Петровнакири, трито тыкнинько — Мишэнькаскири.;0.9231806397438049;tri_med
