to;from;sim;source
Ванька Жуков, девятилетний мальчик, отданный три месяца тому назад в ученье к сапожнику Аляхину, в ночь под Рождество не ложился спать.;Ванька Жуково, енябэршытко раклоро сыс отдыно трин чёна одолэскэ палэ дро сыкляибэ тырахарискэ Аляхиноскэ.;0.7389757633209229;vanka
Дождавшись, когда хозяева и подмастерья ушли к заутрене, он достал из хозяйского шкапа пузырек с чернилами, ручку с заржавленным пером и, разложив перед собой измятый лист бумаги, стал писать.;Ёв дужакирдяпэ, коли хулая и бутярья угынэ дрэ кхангири, дорэстя хулангирэ шкопостыр душлори чернилэнца, вастывари пхуранэ порэса и, ростходя ангил пэстэ замэлалякирды бумага, — лыя тэ чинэл.;0.6068386435508728;vanka
Прежде чем вывести первую букву, он несколько раз пугливо оглянулся на двери и окна, покосился на темный образ, по обе стороны которого тянулись полки с колодками, и прерывисто вздохнул.;Ангил одова, сыр тэ вылыджял пэрво буква, ёв на екх моло даранэс обдыкхьяпэ про удэра и фэнштры, чюрдыя якхэнца про покалымэ дэвлэстэ, пир дуй строны савэстэ тырдынэпэ полки колодкэнца, и хор дыя гондя.;0.700579047203064;vanka
Бумага лежала на скамье, а сам он стоял перед скамьей на коленях.;Бумага сыс пашлы прэ бэшыбнаскиро, а кокоро ёв тэрдо сыс ангил бэшыбнаскиро про чянга.;0.8110297918319702;vanka
«Милый дедушка, Константин Макарыч! — писал он. — И пишу тебе письмо.;„Камло папу, Константино Макарычё! — чиндя ёв — чинава тукэ лыл.;0.8171523213386536;vanka
Поздравляю вас с Рождеством и желаю тебе всего от господа бога.;Свэнкоса тумэн и камам тукэ capo э дэвлэстыр.;0.4177166223526001;vanka
Нету у меня ни отца, ни маменьки, только ты у меня один остался».;"Нанэ мандэ ни дадэс, ни даёрья только ту мандэ екх ячьянпэ"".";0.8647023439407349;vanka
Ванька перевел глаза на темное окно, в котором мелькало отражение его свечки, и живо вообразил себе своего деда Константина Макарыча, служащего ночным сторожем у господ Живаревых.;Ванька пирилыджия якха прэ калы фэнштра, дрэ сави дыкхны сыс лэскири мололы, и пэскэ дрэ годы, ёв джидэс выкхардя пэскирэ папус, Константино Макарычёс, саво бутякирдя ратитконэ ракхибнариса ко рая Жыварёвэ.;0.8034150004386902;vanka
Это маленький, тощенький, но необыкновенно юркий и подвижной старикашка лет 65-ти, с вечно смеющимся лицом и пьяными глазами.;Адава жэ тыкнинько, шуко, нэ дрэван джидо пхуроро 65 бэршытко, сабнаскирэ муеса и матэ якхэнца.;0.7996121048927307;vanka
Днем он спит в людской кухне или балагурит с кухарками, ночью же, окутанный в просторный тулуп, ходит вокруг усадьбы и стучит в свою колотушку.;Дывэсэ ёв суто дрэ манушытко или лыджяла сабнытка ракирибэна бутярненца, савэ кэравэна хабэ, раты жэ уридо дро бугло постын, псирла пашыл кхэр и марла дрэ пэскири пхал.;0.6549971699714661;vanka
За ним, опустив головы, шагают старая Каштанка и кобелек Вьюн, прозванный так за свой черный цвет и тело, длинное, как у ласки.;Пал лэстэ, змэки шэро, псирла пхураны Каштанка и джюкэл Вьюно, прокхардо адякэ пал пэскиро кало цвэто и длэнго сыр ласкатэ трупо.;0.8163478970527649;vanka
Этот Вьюн необыкновенно почтителен и ласков, одинаково умильно смотрит как на своих, так и на чужих, но кредитом не пользуется.;Адава Вьюно дрэван сарэнца гинэлапэ и прэ сарэндэ екхитко камлыткэс дыкхэла, сыр прэ пэскирэндэ, адякэ и прэ чюжонэндэ, нэ нанэ никонэстэ дрэ патыв.;0.6951125264167786;vanka
