to;from;sim;source
ЕСЛИ ВРАГ НЕ СДАЕТСЯ, — ЕГО УНИЧТОЖАЮТ Организованная учением Маркса и Ленина энергия передовых отрядов рабочих и крестьян ведёт за собой массу трудового народа Союза Советов к цели, смысл которой выражается в трёх простых словах: создать новый мир.;Создымэ сыкляибнаса Марксоса и Ленинонэса зор англатунэн отрядэн бутярьен и гавитконэ гаджен лыджяна пал пэстэ сарэн бутитконэн манушэн Союзос Советэн кэ цэль, сави рикирла дрэ пэстэ трин проста лава: тэ создэс нэво миро.;0.653798520565033;vrago
"В Союзе Советов даже дети-пионеры понимают, что для создания нового мира, новых условий жизни необходимо: сделать невозможным скопление в руках и карманах единиц огромных богатств, которые всюду выжимаются и всегда выжимались из крови и пота рабочих, крестьян; уничтожить деление людей на классы, уничтожить всякую возможность эксплуатации меньшинством трудовой и творческой энергии большинства; разоблачить ядовитую ложь религиозных и национальных предрассудков, которые разъединяют людей, делая их непонятными, чужими друг другу; вытравить из жизни трудящихся все воспитанные вековым рабством дикие и грязные бытовые навыки; уничтожить всё, что, затрудняя в трудовом народе рост сознания единства его жизненных интересов, позволяет капиталистам создавать человеческие бойни, посылая миллионы трудящихся на войну друг против друга, - на войны, основная цель которых всегда одна: укрепление права капиталистов на грабёж, укрепление их бессмысленной жажды наживы, их власти над трудящимися.";"Дро Союзо Советэн тыкнэ-пионеры полэна, со ваш одова, собы тэ создэс нэво миро, нэво джиибэн, треби: тэ на дэс бут барвалыпэн дро васта набутка манушэн, савэн сы набари кучка, савэ кай на подыкх вытасавэнапэ и ратэстыр и кхамлыпнастыр бутярен и гавитконэ гаджен; треби тэ розравэс делениё манушэн про классы, тэ хаськирэс сави-бы то тэ наявэл эксплоатацыя бутитконэн манушэн; тэ роскэрэс ядовито хохаибэн ваш дэвлэскэ (религиозно) и нацыональна хохаибэна, савэ розлыджяна и холякирна манушэн машкир пэстэ, кэрна лэн чюжонэнца екх екхэскэ; тэ вычюрдэс джиибнастыр бутитконэ манушэн саро пхураныпэ и хартытко джиибэн (рабство). Треби тэ хаськирэс саро, со кэрла пхарэса тэ барьёл бутитконэ камаибнаскэ; треби тэ хаськирэс одова, со дэла капиталистэнгэ тэ кэрэл марибэн, карик ёнэ бичявэна миллионы бутярен тэ умарэс екх екхэс. Цэль капиталистэн исы екх: зоралыдыр тэ кэрэс капиталистэнгиро право про грабежо, тэ зоралякирэс пэскиро кофо и пэскири власть прэ бутитконэ манушэндэ.";0.7663381099700928;vrago
"В конечном счёте это значит: создать для всех людей и для каждой единицы свободные условия развития своих сил и способностей, создать равную для всех возможность достижения той высоты, до которой поднимаются, излишне затрачивая множество энергии, только исключительные, так называемые ""великие люди"".";"Саро адава ракирла пало адава, собы тэ создэс ваш сарэ манушэнгэ и ваш кажнонэскэ тэ роскхувэс зоралыдыр пэскири зор и фрэнтыма; собы тэ домарэспэ кэ адава джиибнытко учипэн, треби явья тэ захаськирэс бут зор, жыко адава домарэнапэ тольки набут манушэн, савэ кхарнапэ «барэ мануша».";0.6417238712310791;vrago
Это — фантазия, романтика?;Со адава сы парамыся?;0.39778438210487366;vrago
Нет, это — реальность.;На, адава сы чячипэн.;0.7370821237564087;vrago
"Фантазией, романтикой называют это движение масс к строительству нового мира враги рабочих и крестьян, люди, которые, — как недавно написала мне ""Русская женщина"" — представляют ""тонкий слой образованных и европейски мыслящих"" и которые, - как пишет она, - убеждены, что: ""Разум - достояние немногих, нельзя искать разума в массах"".";"Вороги бутярен и крестьянэн парамысяса кхарна амари буты, савьяса амэ кэраса нэво миро. Мангэ чиндя екх «Российско джювлы» и дрэ пэскиро лыл ёй ракирла, со сыклякирдэ мануша, савэн сы на гараз бут, думинэна, со годы дэлапэ на сарэнгэ, со нашты тэ родэс годы дро массы манушэн;";0.19880224764347076;vrago
"""Культура - создание немногих, высокоодарённых людей"".";э культура кэрна одолэ мануша, савэн сы дрэван и дрэван набут, — адава мануша уче годяса.;0.2743914723396301;vrago
"В этих словах ""Русская женщина"" грубо, но правильно выразила весь смысл и всю нищету буржуазной идеологии, выразила всё, что буржуазная мысль может противопоставить духовному возрождению пролетарских масс.";Дрэ адалэ лава «Российко джювлы» на гожэс, нэ чячес выпхэндя саро сыр думинэла буржуазия, ёй сыкадя и сари нишшёта буржуазнонэ идеология, ёй сыкадя, со буржуазно годы могискирла тэ тховэл ангил духовно барьипэ пролетарсконэ массэн.;0.7680544257164001;vrago
Духовное возрождение пролетариата во всём мире — неоспоримая действительность. Рабочий класс Союза Советов, идя впереди пролетариев всех стран, прекрасно утверждает эту новую действительность.;Одова, со пролетариато дрэ саро миро барьёла культурно — исы чячипэн: Бутяритко классо Союзос советэн джяла ангил сарэ свэтытконэ пролетариатос и шукар досыкавэла и ракирла пэскирэ рэндэнца ваш адава чячипэн.;0.5631762742996216;vrago
Он поставил перед собой грандиозную задачу, и его концентрированная энергия успешно разрешает её.;Ёв тходя ангил пэстэ баро задэибэн и лэскири кхэтанякирды зор шукар пролыджяла ла.;0.5436617732048035;vrago
