to;from;sim;source
ЗЛОДЕИ I Однажды за обедом мать сказала Ванюшке Кузину: - Шёл бы ты, Ваня, в город!;﻿ЗЛОДЕИ I Екхвар пало хабэ дай пхэндя Кузаноскирэскэ Ваничкаскэ: — Джясас бы ту, Ваничка, дро форо.;0.783129096031189;zlodei
Ванюшка промолчал.;Ванюшка дыя шоля.;0.8859611749649048;zlodei
Он чистил горячий картофель, шумно дул на пальцы, сложив губы трубой, и сердито двигал бровями.;Ёв гыя, а пал лэстэ парныя злоко, пашыл хасёнас о ратитка тени, и про ив пасёнас кхамэскирэ ивантытка лучи.;0.5521494746208191;zlodei
Мать посмотрела на его круглое, юношеское лицо, вздохнула и повторила потише: — Шёл бы, право...;Дай подыкхья прэ лэскиро крэнгло тэрно муй, дыя ґондя и инкэ моло тихэс пхэндя: — Джясас бы, чячё...;0.8216580748558044;zlodei
— Пошто? — спросил Ванюшка, перекидывая картофель с руки на руку.;Соскэ?— пучья Ваничка, пиричюрдыи крумпли вастэстыр про вавир.;0.7363664507865906;zlodei
- Возьми топор и поди...;— Лэ товэр и джя...;0.8299614787101746;zlodei
— Много там нашего брата с топорами-то!;— Бут амарэ пшала одой э товэрэнца...;0.5289292931556702;zlodei
- Ну, лопату возьми...;— Нэ лопата лэ...;0.8211565613746643;zlodei
Теперь вот скоро погреба набивать станут.;А акана окэ сыго погребэ тэ замарэн лёдоса лэна.;0.6279348134994507;zlodei
Инде дров поколешь, инде что другое...;Кай кашта попхаравэса, кай со вавир.;0.3649190068244934;zlodei
Глядишь, и прокормился бы как-нибудь.;Дыкхэса и прочяравэсапэ сыр на яви.;0.5577594637870789;zlodei
Иди-ка, Ваня?;Джя-ка, Ваничка...;0.696176290512085;zlodei
Ванюшке хотелось идти в город, но он не ответил старухе ни слова.;Ваничкаскэ камьяпэ тэ джял дро форо, нэ ёв на пхэндя пхуромнякэ ни лав.;0.7198978662490845;zlodei
В две недели, истекшие со смерти отца, Ванька почувствовал себя человеком вполне самостоятельным.;Дуй куркэ, савэ прогынэ, сыр мыя лэскиро дад, Ваничка рикирдя пэс хуласа.;0.5998846292495728;zlodei
На поминках по отце он впервые безнаказанно пил водку, а теперь уже ходил по деревне, выпячивая грудь вперёд, озабоченно сдвинув брови, и с матерью разговаривал кратко, отрывисто, подражая в этом отцу...;Прэ дадэскиро рипирибэ ёв бидарипнаскиро пия бравинта, а акана псирдя пиро гав колынэса ангил, э даса ракирдя набут, и дрэ саро рикирдя пэс сыр дад...;0.5400503277778625;zlodei
После обеда старуха занялась починкой своей шубы, а Ванюшка влез на печь и, пролежав с полчаса, спросил мать: — Денег-то у тебя сколько?;Поханэ, пхури залыяпэ тэ засывэл лэскиро постын, а Ваничка закэдыяпэ прэ бов и змэки пашмардо, пучья да: — Кицы тутэ ловэ?;0.7979597449302673;zlodei
— Рубль шесть гривен...;— Састо шовдэша ґаспря...;0.7689388990402222;zlodei
— Шесть гривен мне дай.;— Шовдэша дэ мангэ.;0.6403853297233582;zlodei
— На что тебе?;— Тукэ прэ со?;0.8588590025901794;zlodei
— На дорогу.;— Про дром.;0.8298483490943909;zlodei
— Идёшь?!;—Джяса?;0.8442237377166748;zlodei
— Стало быть — иду...;— Ґалёв, джява...;0.75398188829422;zlodei
— Ну, вот!;— Нэ окэ.;0.648894727230072;zlodei
Иди-ка, сынок!..;Джя-ка, чяворо...;0.6804361939430237;zlodei
Когда думаешь?;Коли думискирэса?;0.8440182209014893;zlodei
— Завтра.;— Атася.;0.8520708680152893;zlodei
На рассвете мать благословила его медным образом Николая Угодника, Ванюшка туго подпоясался, сунул за пояс топор, нахлобучил шапку на уши и, хлопнув руками в рукавицах по бёдрам, сказал: — Пошёл.;Злокоса дай дыя лэскэ свэнтонэ Николаёс, Ваничка тангэс подпхандяпэ, чёдя палэ кустык товэр, уридя стады про кана и, чины вастэнца дро ферлоти пиро пашварэ пхэндя: — Гыём.;0.8240638971328735;zlodei
Прощай!;Ячпэ састы!;0.7640632390975952;zlodei
— С богом, Ваня!;— Джя дэвлэса, Ваничка.;0.7203875184059143;zlodei
Городских-то людей опасайся, — осторожно веди себя с ними — они хитрые!;Форитконэ манушэндыр ракхпэ, — ракхунэс лыджя пэс лэнца — ёнэ фрэнта.;0.5201057195663452;zlodei
Вино не пей, — гляди!;Бравинта на пи дыкх.;0.27710625529289246;zlodei
— Ладно, — сказал Ванюшка и, молодцевато заломив шапку, вышел на улицу.;— Шукир, — пхэндя Ваничка, и муршканэс запхагири стады выгыя прэ гаса.;0.8843789100646973;zlodei
Было ещё темно.;Сыс инкэ тёмныма.;0.6024146676063538;zlodei
Он отошёл не более десяти шагов от своей избы, а когда обернулся на голос матери, стоявшей у ворот, то уже не видел её во тьме и только слышал слова её, тревожно звучавшие в тишине: — Бабёнок городских...;Ёв отгыя пэскирэ кхэрэстыр на бутыр дэшэ шагэндыр, а коли обрисия палэ прэ дакири глос, сави тэрды сыс пашэ порта, то ла ужэ на сыс дыкхно дро калыпэ и только шундя лакирэ лава: — Джювлен форитконэн...;0.7139590978622437;zlodei
Хворь дурная...;Налачи дукх...;0.8025729060173035;zlodei
— Прощай! — крикнул Ванюшка.;— Ячьпэ састы, — дыя голда Ваничка.;0.8223916292190552;zlodei
И тут ему вдруг стало жалко мать, деревню, свою старенькую избу.;И адай лэскэ екхатыр ачья танго э да, пэскиро гав, пхуранинько кхэр.;0.8152572512626648;zlodei
Он остановился, прислушался...;Ёв тэрдыя, пришундяпэ...;0.8205773830413818;zlodei
Но было уже тихо, — мать ушла.;Нэ сыс ужэ саро штыл, — дай угыя.;0.7023086547851562;zlodei
Вздохнув, пошёл и он навстречу неподвижной, безмолвной тьме, ещё не тронутой рассветом...;Дыя ґондя и гыя дро калыпэ, инкэ на зачиладо злокоса...;0.6476216316223145;zlodei
Шагая полем, он думал о том, что, может быть, ему удастся в городе хорошо заработать и, воротясь домой к весне, он женится на Василисе Шамовой.;Фэлдытконэ дромэса ёв думискирдя ваш одова, со можынэла адякэ тэ явэл дро форо лэскэ со удэлапэ шукир тэ забутякир, отэнчя рисёла кэ вэсна кхэрэ, лэла пало ром Василиса Шалювона.;0.6566760540008545;zlodei
И ему представлялась Василиса — полная, крепкая, чистоплотная.;И лэскэ дрэ годы рипирдяпэ Василиса — тхулы, зоралы, жужы.;0.8525207042694092;zlodei
А может быть, он найдёт себе место дворника у хорошего богатого купца и женится уже не на Василисе, а на какой-нибудь городской девушке.;А можэт ёв латхэла пэскэ штэто кэ лачё барвало купцо и лэла пало ром на Василиса, а савья форитконэ ракля.;0.8543657064437866;zlodei
Он шёл, а сзади его тихо загорался рассвет, вокруг невидимо исчезали ночные тени, и на снег ложились бледно-жёлтые лучи зимнего солнца.;Ёв гыя, а пал лэстэ парныя злоко, пашыл хасёнас о ратитка тени, и про ив пасёнас кхамэскирэ ивантытка лучи.;0.7540554404258728;zlodei
Снег под ногами захрустел веселее и громче, Ванюшка запел песню.;Ваничка забагандя гилы.;0.3741493225097656;zlodei
Три двугривенных звякали в кармане его штанов, а в голове, под звуки песни, медленно плыли думы и догадки о будущем.;Трин бишытка ґаспря мардэпэ дрэ лэскири холовэнгири кисык, а дро шэро тэлэ гилы урняндынэ думы пало одова, со явэла дурыдыр.;0.6421986222267151;zlodei
Идти было хорошо, легко, нога не вязла на укатанном снегу дороги, морозный воздух глубоко вливался в грудь и наполнял её бодрым чувством, а синяя даль была ласково красива и манила к себе.;Тэ джяс сыс шукир, локхо, ґэрой на пропэрлас дро примардо дромэскиро ив, мразытко фано хор вчёдяпэ дро колын и адалэстыр кэрласпэ локхо, а синё дурипэ сыс пхэрдо камаибнаса и гожо и кхардя кэ пэ.;0.6248407959938049;zlodei
Иней опушил едва заметные Ванюшкины усы, парень, оттопыривая верхнюю губу, с удовольствием смотрел на неё — усы казались ему длинными и красивыми...;Прэ Ванюшкаскирэ набарэ вэнцы пыя мразо, раклоро привґаздыи упратуно ушт, камаибнаса дыкхья прэ лэндэ — вэнцы сыкадынэ лэскэ длэнгонэнца и гожонэнца...;0.7450507879257202;zlodei
Большой, чёрный, как головня, ворон тяжело ходил по снегу в стороне от дороги.;Баро, кало сыр вангар вороно пхарэс псирдя пиро ив дрэ строна дромэстыр.;0.5120024085044861;zlodei
Ванюшка свистнул.;Ванюшка дыя шоля.;0.8847352862358093;zlodei
Но мрачная птица взглянула на него одним глазом и, переваливаясь с ноги на ногу, подошла ещё ближе к дороге.;Холямэс подыкхья чирикло прэ лэстэ и подгыя инкэ пашылыдыр ко дром.;0.27571991086006165;zlodei
Тогда Иван хлопнул рукавицами, точно выстрелил, но и это не испугало птицу...;Отэнчя Ванюшка чиндя ферлотенца, сыр карье дыя, нэ и адава на трашадя чириклэс.;0.39455950260162354;zlodei
